Unnamed: 0,CHI,CAR
First Downs,12,12
Rush-Yds-TDs,29-115-1,31-114-2
Cmp-Att-Yd-TD-INT,19-32-149-0-0,12-21-128-0-1
Sacked-Yards,1-8,3-26
Net Pass Yards,141,102
Total Yards,256,216
Fumbles-Lost,2-2,0-0
Turnovers,2,1
Penalties-Yards,12-86,10-65
Third Down Conv.,6-15,2-13
Fourth Down Conv.,0-1,0-0
Time of Possession,28:15,31:45
