Quarter,Time,Tm,Detail,CHI,CAR
1.0,13:00,Bears,Brandon Lloyd 9 yard blocked punt return (Robbie Gould kick),7,0
2.0,9:09,Bears,Robbie Gould 26 yard field goal,10,0
,0:12,Panthers,John Kasay 37 yard field goal,10,3
3.0,9:23,Bears,Jason McKie 1 yard rush (Robbie Gould kick),17,3
,5:23,Panthers,John Kasay 45 yard field goal,17,6
,2:18,Panthers,Jonathan Stewart 4 yard rush (John Kasay kick),17,13
4.0,3:52,Panthers,Jonathan Stewart 1 yard rush (John Kasay kick),17,20
