Unnamed: 0,PIT,BAL
First Downs,22,15
Rush-Yds-TDs,41-198-0,28-120-0
Cmp-Att-Yd-TD-INT,15-27-168-1-0,14-21-130-1-1
Sacked-Yards,2-15,1-10
Net Pass Yards,153,120
Total Yards,351,240
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,6-43,4-30
Third Down Conv.,10-16,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,34:14,25:46
