Unnamed: 0,MIN,DET
First Downs,25,14
Rush-Yds-TDs,35-140-0,17-77-0
Cmp-Att-Yd-TD-INT,25-35-316-2-0,18-26-256-2-0
Sacked-Yards,4-31,7-59
Net Pass Yards,285,197
Total Yards,425,274
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,3-31,5-30
Third Down Conv.,5-13,1-10
Fourth Down Conv.,0-1,0-2
Time of Possession,36:27,23:33
