Quarter,Time,Tm,Detail,MIN,DET
1.0,11:10,Lions,Calvin Johnson 1 yard pass from Matthew Stafford (Matt Prater kick),0,7
,3:47,Vikings,Blair Walsh 37 yard field goal,3,7
,1:24,Lions,Eric Ebron 7 yard pass from Matthew Stafford (Matt Prater kick),3,14
2.0,11:11,Vikings,Blair Walsh 53 yard field goal,6,14
,5:03,Lions,Matt Prater 52 yard field goal,6,17
,1:49,Vikings,Kyle Rudolph 1 yard pass from Teddy Bridgewater (Blair Walsh kick failed),12,17
,0:00,Vikings,Blair Walsh 51 yard field goal,15,17
3.0,10:19,Vikings,Stefon Diggs 36 yard pass from Teddy Bridgewater (Blair Walsh kick),22,17
,6:07,Vikings,Blair Walsh 35 yard field goal,25,17
4.0,14:10,Vikings,Blair Walsh 22 yard field goal,28,17
,0:59,Lions,"Safety, Jeff Locke player stepped out of bounds",28,19
