Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
James Conner,PIT,9,22,0,1,15,1.7,7,0.8,0,
Anthony McFarland Jr.,PIT,3,7,0,,6,2.0,1,0.3,0,
Benny Snell Jr.,PIT,3,1,0,,1,0.3,0,0.0,0,
Chase Claypool,PIT,1,4,0,0,4,4.0,0,0.0,0,
Diontae Johnson,PIT,1,4,0,0,0,0.0,4,4.0,0,
Ben Roethlisberger,PIT,1,8,0,1,8,8.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ezekiel Elliott,DAL,18,51,0,4,25,1.4,26,1.4,1,18.0
Tony Pollard,DAL,9,57,0,3,29,3.2,28,3.1,1,9.0
Garrett Gilbert,DAL,3,28,0,2,13,4.3,15,5.0,1,3.0
Amari Cooper,DAL,1,8,0,0,8,8.0,0,0.0,0,
