Unnamed: 0,PIT,DAL
First Downs,20,19
Rush-Yds-TDs,18-46-0,31-144-0
Cmp-Att-Yd-TD-INT,31-45-309-3-0,21-38-243-1-1
Sacked-Yards,0-0,2-23
Net Pass Yards,309,220
Total Yards,355,364
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,3-16,7-70
Third Down Conv.,5-13,8-17
Fourth Down Conv.,0-2,0-1
Time of Possession,26:36,33:24
