Quarter,Time,Down,ToGo,Location,PIT,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Greg Zuerlein kicks off 68 yards, returned by Ray-Ray McCloud for 29 yards (tackle by Donovan Wilson)",0.000,0.670
1,14:54,1,10,PIT 26,0,0,James Conner left guard for 3 yards (tackle by Aldon Smith),0.670,0.540
1,14:17,2,7,PIT 29,0,0,Ben Roethlisberger pass incomplete short right intended for Diontae Johnson,0.540,-0.160
1,14:12,3,7,PIT 29,0,0,Ben Roethlisberger up the middle for 8 yards (tackle by Aldon Smith),-0.160,1.400
1,13:26,1,10,PIT 37,0,0,James Conner left guard for 3 yards (tackle by Antwaun Woods),1.400,1.260
1,12:48,2,7,PIT 40,0,0,James Conner up the middle for 6 yards (tackle by Jaylon Smith),1.260,1.360
1,12:21,3,1,PIT 46,0,0,James Conner up the middle for 2 yards (tackle by DeMarcus Lawrence),1.360,2.130
1,11:45,1,10,PIT 48,0,0,Ben Roethlisberger pass incomplete deep left intended for Diontae Johnson,2.130,1.580
1,11:38,2,10,PIT 48,0,0,Benny Snell up the middle for 3 yards (tackle by Xavier Woods and Leighton Vander Esch),1.580,1.290
1,10:56,3,7,DAL 49,0,0,Ben Roethlisberger pass incomplete deep right intended for Chase Claypool,1.290,0.000
1,10:49,4,7,DAL 49,0,0,"Jordan Berry punts 34 yards, fair catch by Cedrick Wilson at DAL-15",0.000,0.220
1,10:42,1,10,DAL 15,0,0,Garrett Gilbert right end for 2 yards (tackle by Joe Haden),-0.220,-0.440
1,10:09,2,8,DAL 17,0,0,Garrett Gilbert pass complete short right to Michael Gallup for 6 yards (tackle by Vince Williams),-0.440,-0.390
1,9:33,3,2,DAL 23,0,0,Garrett Gilbert pass complete deep left to Amari Cooper for 32 yards (tackle by Cameron Sutton),-0.390,2.590
1,9:07,1,10,PIT 45,0,0,Ezekiel Elliott left tackle for 5 yards (tackle by Stephon Tuitt),2.590,2.720
1,8:35,,,,,,Timeout #1 by Pittsburgh Steelers,,
1,8:35,2,5,PIT 40,0,0,Ezekiel Elliott right tackle for 2 yards (tackle by Alex Highsmith),2.720,2.280
1,7:55,3,3,PIT 38,0,0,Ezekiel Elliott left tackle for 4 yards (tackle by Steven Nelson),2.280,3.310
1,7:19,1,10,PIT 34,0,0,Garrett Gilbert pass incomplete short right intended for Michael Gallup,3.310,2.770
1,7:13,2,10,PIT 34,0,0,Tony Pollard left end for 20 yards (tackle by Minkah Fitzpatrick),2.770,4.650
