Quarter,Time,Tm,Detail,PIT,DAL
1.0,3:55,Cowboys,Greg Zuerlein 38 yard field goal,0,3
2.0,7:45,Cowboys,CeeDee Lamb 20 yard pass from Garrett Gilbert (Greg Zuerlein kick),0,10
,3:46,Cowboys,Greg Zuerlein 44 yard field goal,0,13
,1:10,Steelers,James Washington 17 yard pass from Ben Roethlisberger (Chris Boswell kick failed),6,13
,0:00,Steelers,Chris Boswell 59 yard field goal,9,13
3.0,10:17,Cowboys,Greg Zuerlein 45 yard field goal,9,16
,2:13,Cowboys,Greg Zuerlein 39 yard field goal,9,19
4.0,14:51,Steelers,JuJu Smith-Schuster 31 yard pass from Ben Roethlisberger (Chris Boswell kick failed),15,19
,7:11,Steelers,Chris Boswell 43 yard field goal,18,19
,2:14,Steelers,Eric Ebron 8 yard pass from Ben Roethlisberger (pass failed),24,19
