Unnamed: 0,NYG,NYJ
First Downs,23,28
Rush-Yds-TDs,33-115-1,38-132-0
Cmp-Att-Yd-TD-INT,24-40-303-2-0,27-45-281-4-2
Sacked-Yards,1-5,3-21
Net Pass Yards,298,260
Total Yards,413,392
Fumbles-Lost,0-0,4-2
Turnovers,0,4
Penalties-Yards,6-62,3-30
Third Down Conv.,7-16,9-19
Fourth Down Conv.,0-0,2-2
Time of Possession,34:29,40:27
