Quarter,Time,Tm,Detail,NOR,ATL
1.0,8:29,Saints,Adam Trautman 18 yard pass from Taysom Hill (Brett Maher kick),7,0
,3:15,Falcons,Younghoe Koo 48 yard field goal,7,3
2.0,10:31,Falcons,Younghoe Koo 54 yard field goal,7,6
,5:47,Saints,Tre'Quan Smith 13 yard pass from Trevor Siemian (Brett Maher kick),14,6
,1:03,Saints,Brett Maher 37 yard field goal,17,6
,0:02,Saints,Juwan Johnson 5 yard pass from Trevor Siemian (Brett Maher kick),24,6
3.0,2:49,Falcons,Qadree Ollison 19 yard rush (Younghoe Koo kick),24,13
4.0,10:55,Saints,Brett Maher 27 yard field goal,27,13
,7:36,Saints,Brett Maher 33 yard field goal,30,13
,0:21,Falcons,Russell Gage 1 yard pass from Matt Ryan (Younghoe Koo kick),30,20
