Unnamed: 0,NOR,ATL
First Downs,22,13
Rush-Yds-TDs,46-195-0,12-62-1
Cmp-Att-Yd-TD-INT,16-24-178-3-0,20-33-216-1-1
Sacked-Yards,1-4,3-21
Net Pass Yards,174,195
Total Yards,369,257
Fumbles-Lost,2-0,3-2
Turnovers,0,3
Penalties-Yards,4-40,5-46
Third Down Conv.,8-16,3-10
Fourth Down Conv.,0-1,2-3
Time of Possession,39:17,20:43
