Quarter,Time,Tm,Detail,OAK,DEN
2.0,14:06,Raiders,Daniel Carlson 23 yard field goal,3,0
,8:21,Broncos,Brandon McManus 43 yard field goal,3,3
,0:28,Broncos,Andrew Beck 1 yard pass from Drew Lock (Brandon McManus kick),3,10
3.0,4:37,Broncos,Brandon McManus 49 yard field goal,3,13
4.0,14:55,Broncos,Brandon McManus 51 yard field goal,3,16
,9:03,Raiders,Daniel Carlson 33 yard field goal,6,16
,3:09,Raiders,Daniel Carlson 28 yard field goal,9,16
,0:07,Raiders,Hunter Renfrow 3 yard pass from Derek Carr (pass failed),15,16
