Quarter,Time,Down,ToGo,Location,OAK,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Daniel Carlson kicks off 63 yards, returned by Diontae Spencer for 20 yards (tackle by Erik Harris and Nicholas Morrow)",0.000,0.410
1,14:55,1,10,DEN 22,0,0,Phillip Lindsay up the middle for 4 yards (tackle by William Compton),0.410,0.410
1,14:18,2,6,DEN 26,0,0,Drew Lock pass incomplete short middle intended for Tim Patrick,0.410,-0.290
1,14:14,3,6,DEN 26,0,0,Drew Lock pass incomplete deep right intended for Courtland Sutton,-0.290,-1.630
1,14:09,4,6,DEN 26,0,0,"Colby Wadman punts 54 yards, returned by Hunter Renfrow for 5 yards (tackle by Fred Brown)",-1.630,-0.610
1,13:59,1,10,OAK 25,0,0,Derek Carr pass complete short left to Hunter Renfrow for 6 yards (tackle by Todd Davis),0.610,0.870
1,13:25,2,4,OAK 31,0,0,Derek Carr pass complete short middle to Darren Waller for 18 yards (tackle by Isaac Yiadom and Trey Marshall),0.870,2.190
1,12:55,1,10,OAK 49,0,0,DeAndre Washington right tackle for 4 yards (tackle by Mike Purcell),2.190,2.190
1,12:24,2,6,DEN 47,0,0,"Penalty on Jeremiah Attaochu: Neutral Zone Infraction, 5 yards (no play)",2.190,2.860
1,12:04,2,1,DEN 42,0,0,DeAndre Washington left guard for 3 yards (tackle by Von Miller and Mike Purcell),2.860,2.980
1,11:24,1,10,DEN 39,0,0,Derek Carr pass complete short left to Darren Waller for 3 yards (tackle by Justin Hollins),2.980,2.850
1,10:44,2,7,DEN 36,0,0,DeAndre Washington left tackle for 2 yards (tackle by Will Parks),2.850,2.410
1,10:02,3,5,DEN 34,0,0,Derek Carr pass complete short left to Darren Waller for 5 yards (tackle by Trey Marshall),2.410,3.640
1,9:17,1,10,DEN 29,0,0,Jalen Richard left guard for 4 yards (tackle by Alexander Johnson),3.640,3.640
1,8:32,,,,,,Timeout #1 by Oakland Raiders,,
1,8:32,2,6,DEN 25,0,0,DeAndre Washington up the middle for 5 yards (tackle by Will Parks),3.640,3.600
1,7:48,3,1,DEN 20,0,0,Derek Carr pass incomplete deep left intended for Hunter Renfrow,3.600,2.270
1,7:42,4,1,DEN 20,0,0,Daniel Carlson 39 yard field goal no good,2.270,-0.870
1,7:38,1,10,DEN 29,0,0,"Penalty on Austin Schlottmann: False Start, 5 yards (no play)",0.870,0.540
1,7:38,1,15,DEN 24,0,0,Phillip Lindsay right tackle for 2 yards (tackle by Maxx Crosby and William Compton),0.540,-0.080
1,7:01,2,13,DEN 26,0,0,Drew Lock pass complete short right to Andrew Beck for 7 yards (tackle by Curtis Riley),-0.080,0.170
1,6:27,3,6,DEN 33,0,0,Drew Lock pass complete short left to DaeSean Hamilton for 14 yards (tackle by Lamarcus Joyner),0.170,2.060
1,5:54,1,10,DEN 47,0,0,Phillip Lindsay up the middle for 7 yards (tackle by Trayvon Mullen),2.060,2.460
1,5:17,2,3,OAK 46,0,0,Phillip Lindsay up the middle for -1 yards (tackle by Curtis Riley),2.460,1.620
1,4:34,3,4,OAK 47,0,0,Drew Lock sacked by and Johnathan Hankins for -9 yards and Maxx Crosby for -9 yards,1.620,-0.460
1,3:51,4,13,DEN 44,0,0,"Colby Wadman punts 49 yards, fair catch by Hunter Renfrow at OAK-7",-0.460,0.380
1,3:42,1,10,OAK 7,0,0,DeAndre Washington left tackle for -2 yards (tackle by Todd Davis),-0.380,-0.930
1,3:00,2,12,OAK 5,0,0,DeAndre Washington up the middle for 3 yards (tackle by Mike Purcell and Shelby Harris),-0.930,-1.300
1,2:17,3,9,OAK 8,0,0,Derek Carr pass complete short left to Darren Waller for 75 yards (tackle by Will Parks),-1.300,4.440
1,1:20,1,10,DEN 17,0,0,DeAndre Washington up the middle for 1 yard (tackle by Mike Purcell and Justin Simmons),4.440,4.000
1,0:38,2,9,DEN 16,0,0,"Derek Carr pass incomplete short middle intended for Hunter Renfrow. Penalty on Todd Davis: Defensive Holding, 5 yards (no play)",4.000,4.840
1,0:32,1,10,DEN 11,0,0,DeAndre Washington up the middle for 1 yard (tackle by Alexander Johnson),4.840,4.320
1,0:01,2,9,DEN 10,0,0,"Penalty on Denzelle Good: False Start, 5 yards (no play)",4.320,3.560
Quarter,Time,Down,ToGo,Location,OAK,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,14,DEN 15,0,0,Derek Carr pass complete short middle to DeAndre Washington for 10 yards (tackle by Alexander Johnson),3.560,4.440
2,14:18,3,4,DEN 5,0,0,Derek Carr pass incomplete short right,4.440,3.010
2,14:10,4,4,DEN 5,3,0,Daniel Carlson 23 yard field goal good,3.010,3.000
2,14:06,,,OAK 35,3,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,14:06,1,10,DEN 25,3,0,Phillip Lindsay up the middle for no gain (tackle by Curtis Riley). Penalty on Noah Fant: Offensive Holding (Declined),0.610,0.060
2,13:45,2,10,DEN 25,3,0,Drew Lock pass complete deep left to Courtland Sutton for 19 yards (tackle by Erik Harris),0.060,1.860
2,13:08,1,10,DEN 44,3,0,Drew Lock right end for 5 yards (tackle by Tahir Whitehead),1.860,1.990
2,12:30,2,5,DEN 49,3,0,Drew Lock pass complete short middle to DaeSean Hamilton for 8 yards (tackle by Tahir Whitehead),1.990,2.720
2,11:53,1,10,OAK 43,3,0,Phillip Lindsay right tackle for 4 yards (tackle by Nevin Lawson),2.720,2.720
2,11:13,2,6,OAK 39,3,0,Phillip Lindsay left end for 2 yards (tackle by Daryl Worley),2.720,2.280
2,10:36,3,4,OAK 37,3,0,Drew Lock pass complete short middle to Courtland Sutton for 11 yards (tackle by Maxx Crosby),2.280,3.840
2,9:49,1,10,OAK 26,3,0,Diontae Spencer right end for -8 yards (tackle by Maxx Crosby),3.840,2.220
2,9:07,2,18,OAK 34,3,0,Drew Lock pass incomplete short middle intended for Troy Fumagalli (defended by Lamarcus Joyner). Penalty on Jake Rodgers: Ineligible Downfield Pass (Declined),2.220,1.550
2,9:03,3,18,OAK 34,3,0,Drew Lock pass complete short middle to Devontae Booker for 9 yards (tackle by Nicholas Morrow),1.550,1.800
2,8:25,4,9,OAK 25,3,3,Brandon McManus 43 yard field goal good,1.800,3.000
2,8:21,,,DEN 35,3,3,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,8:21,1,10,OAK 25,3,3,DeAndre Washington left end for no gain (tackle by Mike Purcell and Shelby Harris),0.610,0.060
2,7:41,2,10,OAK 25,3,3,Derek Carr pass incomplete short middle intended for Hunter Renfrow,0.060,-0.620
2,7:35,3,10,OAK 25,3,3,Derek Carr pass complete short left to Jalen Richard for 33 yards (tackle by Alexander Johnson),-0.620,2.790
2,6:59,1,10,DEN 42,3,3,Derek Carr pass complete deep left to Hunter Renfrow for 22 yards (tackle by Trey Marshall),2.790,4.240
2,6:30,1,10,DEN 20,3,3,DeAndre Washington left tackle for 3 yards (tackle by Todd Davis and DeMarcus Walker),4.240,4.120
2,5:55,2,7,DEN 17,3,3,Derek Carr pass complete short middle to DeAndre Washington for 10 yards (tackle by Justin Simmons),4.120,5.600
2,5:12,1,7,DEN 7,3,3,DeAndre Washington right tackle for 2 yards (tackle by Josey Jewell),5.600,5.150
2,4:33,2,5,DEN 5,3,3,Derek Carr pass incomplete short right intended for Hunter Renfrow (defended by Isaac Yiadom),5.150,4.260
2,4:29,3,5,DEN 5,3,3,Derek Carr pass complete short middle to Hunter Renfrow for 4 yards (tackle by Josey Jewell),4.260,3.550
2,4:14,4,1,DEN 1,3,3,Alec Ingold up the middle for no gain (tackle by Von Miller and Alexander Johnson),3.550,0.380
2,4:06,1,10,DEN 1,3,3,"Drew Lock pass incomplete short left intended for Courtland Sutton (defended by Daryl Worley). Penalty on Daryl Worley: Defensive Pass Interference, 8 yards (no play)",-0.380,-0.380
2,4:02,1,10,DEN 9,3,3,Royce Freeman up the middle for -2 yards (tackle by Clelin Ferrell),-0.380,-0.930
2,3:17,2,12,DEN 7,3,3,Drew Lock pass complete short left to Royce Freeman for 8 yards (tackle by Tahir Whitehead),-0.930,-0.720
