Unnamed: 0,OAK,DEN
First Downs,18,16
Rush-Yds-TDs,22-97-0,27-70-0
Cmp-Att-Yd-TD-INT,29-46-391-1-0,17-28-177-1-0
Sacked-Yards,2-11,2-9
Net Pass Yards,380,168
Total Yards,477,238
Fumbles-Lost,3-1,4-1
Turnovers,1,1
Penalties-Yards,10-107,9-61
Third Down Conv.,5-16,3-12
Fourth Down Conv.,1-3,0-0
Time of Possession,33:00,27:00
