Unnamed: 0,DAL,TEN
First Downs,23,16
Rush-Yds-TDs,41-217-3,27-78-0
Cmp-Att-Yd-TD-INT,13-20-179-2-1,14-29-155-1-2
Sacked-Yards,0-0,2-4
Net Pass Yards,179,151
Total Yards,396,229
Fumbles-Lost,0-0,4-1
Turnovers,1,3
Penalties-Yards,5-61,5-55
Third Down Conv.,5-10,6-12
Fourth Down Conv.,1-1,0-1
Time of Possession,32:34,27:26
