Quarter,Time,Down,ToGo,Location,DAL,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Rob Bironas kicks off 60 yards, returned by Tyson Thompson for 27 yards (tackle by Cortland Finnegan)",0.000,1.400
1,14:53,1,10,DAL 37,0,0,Julius Jones right tackle for no gain (tackle by Albert Haynesworth),1.400,0.860
1,14:16,2,10,DAL 37,0,0,Julius Jones left guard for -1 yards (tackle by David Thornton and Travis LaBoy),0.860,0.040
1,13:36,3,11,DAL 36,0,0,Drew Bledsoe pass incomplete deep middle intended for Terry Glenn is intercepted by Chris Hope at TEN-45,0.040,-1.930
1,13:30,1,10,TEN 45,0,0,Chris Brown right end for 8 yards (tackle by Akin Ayodele and Marcus Spears),1.930,2.460
1,12:55,2,2,DAL 47,0,0,Chris Brown middle for 3 yards (tackle by Roy Williams),2.460,2.650
1,12:22,1,10,DAL 44,0,0,Chris Brown left tackle for 7 yards (tackle by Marcus Spears),2.650,3.060
1,11:47,2,3,DAL 37,0,0,Chris Brown left guard for no gain (tackle by Greg Ellis),3.060,2.350
1,11:09,3,3,DAL 37,0,0,Chris Brown right guard for 3 yards (tackle by Marcus Spears and Pat Watkins),2.350,3.310
1,10:32,1,10,DAL 34,0,0,Vince Young pass complete short right to Bo Scaife for 6 yards (tackle by Akin Ayodele),3.310,3.580
1,9:55,2,4,DAL 28,0,0,Chris Brown left tackle for 2 yards (tackle by DeMarcus Ware and Akin Ayodele),3.580,3.140
1,9:18,3,2,DAL 26,0,0,"Vince Young middle for 3 yards. Penalty on DeMarcus Ware: Defensive Offside, 5 yards (no play)",3.140,4.170
1,8:48,1,10,DAL 21,0,0,Chris Brown right tackle for 3 yards (tackle by Akin Ayodele and Bradie James),4.170,4.040
1,8:10,2,7,DAL 18,0,0,Vince Young pass incomplete deep right intended for David Givens,4.040,3.310
1,8:07,3,7,DAL 18,0,0,Vince Young pass complete short left to David Givens for 3 yards (tackle by Anthony Henry),3.310,2.520
1,7:29,4,4,DAL 15,0,3,Rob Bironas 33 yard field goal good,2.520,3.000
1,,,,TEN 30,0,3,"Rob Bironas kicks off 75 yards, touchback",0.000,0.280
1,7:26,1,10,DAL 20,0,3,Drew Bledsoe pass complete short right to Jason Witten for 8 yards (tackle by Chris Hope),0.280,0.810
1,6:46,2,2,DAL 28,0,3,Drew Bledsoe pass complete short middle to Jason Witten for 11 yards (tackle by Chris Hope),0.810,1.530
1,6:11,1,10,DAL 39,0,3,Julius Jones left tackle for 6 yards (tackle by Keith Bulluck and Peter Sirmon),1.530,1.800
1,5:34,2,4,DAL 45,0,3,"Drew Bledsoe pass incomplete deep right intended for Terry Glenn. Penalty on Terrell Owens: Offensive Pass Interfere, 10 yards (no play)",1.800,0.450
1,5:28,2,14,DAL 35,0,3,Julius Jones left tackle for 26 yards (tackle by Lamont Thompson),0.450,2.980
1,4:57,1,10,TEN 39,0,3,Julius Jones right end for 5 yards (tackle by Adam Jones),2.980,3.120
1,4:28,2,5,TEN 34,0,3,"Penalty on Jason Witten: False Start, 5 yards (no play)",3.120,2.440
1,4:03,2,10,TEN 39,0,3,"Drew Bledsoe pass incomplete short left intended for Jason Witten. Penalty on Adam Jones: Illegal Use of Hands, 5 yards (no play)",2.440,3.310
1,4:00,1,10,TEN 34,0,3,Drew Bledsoe pass incomplete deep right intended for Terrell Owens,3.310,2.770
1,3:55,2,10,TEN 34,0,3,Drew Bledsoe pass complete short left to Terry Glenn for 11 yards (tackle by Cortland Finnegan and Reynaldo Hill),2.770,4.040
1,3:15,1,10,TEN 23,0,3,Julius Jones middle for 3 yards (tackle by Chris Hope),4.040,3.900
1,2:40,2,7,TEN 20,0,3,Julius Jones right end for 2 yards (tackle by Chris Hope),3.900,3.490
1,1:58,3,5,TEN 18,0,3,Drew Bledsoe pass complete short left to Terrell Owens for 7 yards (tackle by Peter Sirmon and Reynaldo Hill),3.490,4.840
1,1:15,1,10,TEN 11,0,3,Julius Jones middle for -2 yards (tackle by Travis LaBoy),4.840,3.830
1,0:40,2,12,TEN 13,6,3,"Drew Bledsoe pass complete short right to Terry Glenn for 13 yards, touchdown",3.830,7.000
1,,,,TEN 2,7,3,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,DAL 30,7,3,"Mike Vanderjagt kicks off 50 yards, returned by Casey Cramer for 6 yards (tackle by Sam Hurd)",0.000,0.670
1,0:28,1,10,TEN 26,7,3,"Chris Brown right end for -4 yards (tackle by Bradie James). Chris Brown fumbles (forced by Bradie James), recovered by Chris Brown at TEN-22",0.670,-0.410
Quarter,Time,Down,ToGo,Location,DAL,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,14,TEN 22,7,3,Vince Young pass incomplete short left intended for Bo Scaife,-0.410,-1.090
2,14:58,3,14,TEN 22,7,3,Vince Young pass incomplete deep left intended for Drew Bennett (defended by Anthony Henry),-1.090,-1.900
2,14:52,4,14,TEN 22,7,3,"Craig Hentrich punts 53 yards, returned by Terence Newman for 20 yards (tackle by Robert Reynolds)",-1.900,-1.930
2,14:36,1,10,DAL 45,7,3,Julius Jones right tackle for 3 yards (tackle by Keith Bulluck and Kyle Vanden Bosch),1.930,1.790
2,13:58,2,7,DAL 48,7,3,Drew Bledsoe pass incomplete deep left intended for Jason Witten. Penalty on Terry Glenn: Illegal Use of Hands (Declined),1.790,1.090
2,13:53,3,7,DAL 48,7,3,"Drew Bledsoe pass complete deep middle to Terrell Owens for 20 yards (tackle by Chris Hope). Penalty on Kyle Vanden Bosch: Roughing the Passer, 15 yards",1.090,4.440
2,13:33,1,10,TEN 17,7,3,Drew Bledsoe pass incomplete,4.440,3.850
2,13:28,2,10,TEN 17,7,3,Julius Jones middle for 4 yards (tackle by Randy Starks and Kyle Vanden Bosch),3.850,3.680
2,12:51,3,6,TEN 13,13,3,"Drew Bledsoe pass complete short middle to Terry Glenn for 13 yards, touchdown",3.680,7.000
2,,,,TEN 2,14,3,Mike Vanderjagt kicks extra point good,0.000,0.000
2,,,,DAL 30,14,3,"Mike Vanderjagt kicks off 71 yards, touchback",0.000,0.280
2,12:43,1,10,TEN 20,14,3,Vince Young pass incomplete deep middle intended for Roydell Williams (defended by Anthony Henry),0.280,-0.270
2,12:35,2,10,TEN 20,14,3,LenDale White right tackle for 8 yards (tackle by Pat Watkins and Roy Williams),-0.270,0.100
2,11:58,3,2,TEN 28,14,3,LenDale White middle for 6 yards (tackle by Pat Watkins),0.100,1.200
2,11:22,1,10,TEN 34,14,3,LenDale White left tackle for 3 yards (tackle by Chris Canty),1.200,1.060
2,10:46,2,7,TEN 37,14,3,Vince Young left tackle for -6 yards (tackle by Kevin Burnett and Bradie James),1.060,-0.430
2,10:02,3,13,TEN 31,14,3,Vince Young pass complete short middle to Ben Troupe for 18 yards (tackle by Pat Watkins and Anthony Henry),-0.430,2.190
