Unnamed: 0,ARI,SFO
First Downs,22,22
Rush-Yds-TDs,39-163-3,11-39-0
Cmp-Att-Yd-TD-INT,23-27-282-1-0,28-40-326-2-1
Sacked-Yards,2-8,5-28
Net Pass Yards,274,298
Total Yards,437,337
Fumbles-Lost,1-0,2-2
Turnovers,0,3
Penalties-Yards,9-84,3-35
Third Down Conv.,7-15,4-10
Fourth Down Conv.,1-2,0-0
Time of Possession,36:47,23:13
