Quarter,Time,Tm,Detail,ARI,SFO
1.0,6:08,Cardinals,James Conner 13 yard rush (Matt Prater kick),7,0
,0:39,Cardinals,James Conner 1 yard rush (Matt Prater kick),14,0
2.0,4:02,Cardinals,Matt Prater 26 yard field goal,17,0
,0:16,49ers,George Kittle 6 yard pass from Jimmy Garoppolo (Robbie Gould kick),17,7
3.0,13:34,Cardinals,James Conner 45 yard pass from Colt McCoy (Matt Prater kick),24,7
,8:05,Cardinals,Eno Benjamin 21 yard rush (Matt Prater kick),31,7
,4:56,49ers,Brandon Aiyuk 11 yard pass from Jimmy Garoppolo (Robbie Gould kick),31,14
4.0,8:23,49ers,Robbie Gould 26 yard field goal,31,17
