Quarter,Time,Down,ToGo,Location,ARI,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Matt Prater kicks off 61 yards, returned by Trenton Cannon for 22 yards (tackle by Dennis Gardeck)",,
1,14:55,1,10,SFO 26,0,0,Elijah Mitchell up the middle for 9 yards (tackle by Josh Mauro and Budda Baker),,
1,14:27,2,2,SFO 35,0,0,Jimmy Garoppolo pass complete short left to Kyle Juszczyk for 4 yards (tackle by Tanner Vallejo),,
1,14:03,1,10,SFO 39,0,0,Jimmy Garoppolo pass complete short middle to George Kittle for 19 yards (tackle by Jordan Hicks),,
1,13:35,1,10,ARI 42,0,0,Jimmy Garoppolo pass incomplete short left intended for Brandon Aiyuk,,
1,13:33,2,10,ARI 42,0,0,Jimmy Garoppolo pass incomplete deep middle intended for George Kittle (defended by Tanner Vallejo),,
1,13:28,3,10,ARI 42,0,0,Jimmy Garoppolo sacked by Markus Golden for -4 yards,,
1,12:43,4,14,ARI 46,0,0,"Mitch Wishnowsky punts 34 yards, fair catch by Rondale Moore at ARI-12",,
1,12:35,1,10,ARI 12,0,0,Chase Edmonds up the middle for 3 yards (tackle by D.J. Jones and Arik Armstead),,
1,12:03,2,7,ARI 15,0,0,Colt McCoy pass complete short left to Christian Kirk for 10 yards (tackle by Josh Norman),,
1,11:45,1,10,ARI 25,0,0,Colt McCoy pass incomplete deep right intended for Darrell Daniels (defended by Tavon Wilson),,
1,11:38,2,10,ARI 25,0,0,Colt McCoy pass complete short right to Darrell Daniels for no gain (tackle by Talanoa Hufanga),,
1,10:59,3,10,ARI 25,0,0,Colt McCoy pass incomplete short right,,
1,10:49,4,10,ARI 25,0,0,"Andy Lee punts 52 yards, returned by Brandon Aiyuk for 9 yards (tackle by Dennis Gardeck and Antonio Hamilton)",,
1,10:37,1,10,SFO 32,0,0,"Jimmy Garoppolo pass complete short middle to George Kittle for 18 yards. George Kittle fumbles (forced by Byron Murphy), recovered by Jordan Hicks at ARI-43",,
1,10:29,1,10,ARI 43,0,0,James Conner up the middle for 8 yards (tackle by Arik Armstead and Fred Warner),,
1,9:55,2,2,SFO 49,0,0,Colt McCoy left end for 1 yard (tackle by Azeez Al-Shaair and Fred Warner),,
1,9:22,3,1,SFO 48,0,0,James Conner up the middle for 4 yards (tackle by Arik Armstead and Nick Bosa),,
1,8:48,1,10,SFO 44,0,0,Colt McCoy pass complete short right to Zach Ertz for 9 yards (tackle by Emmanuel Moseley),,
1,8:30,2,1,SFO 35,0,0,Colt McCoy pass complete short right to Christian Kirk for 9 yards (tackle by Tavon Wilson and Emmanuel Moseley),,
1,7:54,1,10,SFO 26,0,0,Colt McCoy pass complete short left to Rondale Moore for 8 yards (tackle by Tavon Wilson),,
1,7:22,2,3,SFO 18,0,0,James Conner up the middle for 1 yard (tackle by Fred Warner and Jordan Willis),,
1,6:48,3,1,SFO 17,0,0,James Conner up the middle for 4 yards (tackle by K'Waun Williams and Emmanuel Moseley),,
1,6:14,1,10,SFO 13,6,0,"James Conner right tackle for 13 yards, touchdown",,
1,6:08,,,SFO 15,6,0,"Penalty on ARI: Delay of Game, 5 yards (accepted) (no play)",,
1,6:08,,,SFO 20,7,0,Matt Prater kicks extra point good,,
1,6:08,,,ARI 35,7,0,"Matt Prater kicks off 65 yards, touchback.",,
1,6:08,1,10,SFO 25,7,0,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 16 yards (tackle by Budda Baker),,
1,5:41,1,10,SFO 41,7,0,Elijah Mitchell right end for -5 yards (tackle by Markus Golden and Michael Dogbe),,
1,4:55,2,15,SFO 36,7,0,Jimmy Garoppolo pass incomplete short left intended for Deebo Samuel,,
1,4:51,3,16,SFO 36,7,0,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,,
1,4:46,4,16,SFO 36,7,0,"Mitch Wishnowsky punts 44 yards, fair catch by Rondale Moore at ARI-20",,
1,4:38,1,10,ARI 20,7,0,Chris Streveler right guard for 2 yards (tackle by Arik Armstead and Jordan Willis),,
1,4:06,2,8,ARI 22,7,0,"Colt McCoy pass complete short right to Darrell Daniels for no gain (tackle by K'Waun Williams). Penalty on Kelvin Beachum: Offensive Holding, 10 yards (accepted) (no play)",,
1,3:43,2,18,ARI 12,7,0,Colt McCoy pass complete short middle to James Conner for no gain (tackle by Talanoa Hufanga),,
1,3:00,3,18,ARI 12,7,0,Colt McCoy pass complete short middle to James Conner for 21 yards (tackle by Emmanuel Moseley),,
1,2:32,1,10,ARI 33,7,0,Colt McCoy pass complete short left to Christian Kirk for 17 yards (tackle by Josh Norman),,
1,1:59,1,10,ARI 50,7,0,James Conner up the middle for 1 yard (tackle by Azeez Al-Shaair),,
1,1:25,2,9,SFO 49,7,0,Colt McCoy pass incomplete short middle intended for Zach Ertz (defended by Azeez Al-Shaair),,
1,1:21,3,9,SFO 49,7,0,"Colt McCoy sacked by Arik Armstead for no gain. Penalty on Arik Armstead: Face Mask (15 Yards), 15 yards (accepted) (no play)",,
1,1:11,1,10,SFO 34,7,0,"Christian Kirk pass complete deep right to Antoine Wesley for 33 yards (tackle by Tavon Wilson) ARI challenged the runner broke the plane ruling, and the play was upheld.",,
1,0:42,1,1,SFO 1,13,0,"James Conner up the middle for 1 yard, touchdown",,
1,0:39,,,SFO 15,14,0,Matt Prater kicks extra point good,,
1,0:39,,,ARI 35,14,0,"Matt Prater kicks off 64 yards, returned by Trenton Cannon for 23 yards (tackle by Greg Dortch)",,
1,0:33,1,10,SFO 24,14,0,Jimmy Garoppolo pass complete short left to Elijah Mitchell for 7 yards (tackle by Devon Kennard),,
Quarter,Time,Down,ToGo,Location,ARI,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,SFO 31,14,0,Brandon Aiyuk left end for -2 yards (tackle by Jordan Hicks and Jalen Thompson),,
