Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Christian Kirk,ARI,6,6,91,0,4,56,9.3,35,5.8,9.3,0,,0,0.0,0,118.7
James Conner,ARI,5,5,77,1,3,-4,-0.8,81,16.2,-0.8,1,5.0,0,0.0,0,158.3
Rondale Moore,ARI,5,5,25,0,1,-5,-1.0,30,6.0,-1.0,0,,0,0.0,0,87.5
Zach Ertz,ARI,5,3,27,0,1,-2,-0.7,29,9.7,0.6,0,,1,20.0,0,74.6
Antoine Wesley,ARI,3,3,62,0,2,45,15.0,17,5.7,15.0,0,,0,0.0,0,118.7
Darrell Daniels,ARI,2,1,0,0,,-1,-1.0,1,1.0,12.5,0,,0,0.0,0,56.2
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Brandon Aiyuk,SFO,8,6,89,1,5,69,11.5,20,3.3,12.6,0,,0,0.0,0,150.5
George Kittle,SFO,8,6,101,1,5,83,13.8,18,3.0,14.5,0,,0,0.0,0,156.2
Elijah Mitchell,SFO,5,5,43,0,1,1,0.2,42,8.4,0.2,1,5.0,0,0.0,0,102.5
Deebo Samuel,SFO,9,5,63,0,3,16,3.2,47,9.4,9.0,1,5.0,1,11.1,1,38.0
Jamycal Hasty,SFO,4,3,11,0,,6,2.0,5,1.7,-0.3,0,,0,0.0,0,77.1
Kyle Juszczyk,SFO,2,2,14,0,2,14,7.0,0,0.0,7.0,0,,0,0.0,0,95.8
Mohamed Sanu,SFO,3,1,5,0,1,5,5.0,0,0.0,11.7,0,,0,0.0,0,42.4
