Unnamed: 0,WAS,ATL
First Downs,23,17
Rush-Yds-TDs,31-125-2,22-99-2
Cmp-Att-Yd-TD-INT,25-39-356-2-0,16-36-197-2-2
Sacked-Yards,6-46,3-13
Net Pass Yards,310,184
Total Yards,435,283
Fumbles-Lost,3-2,0-0
Turnovers,2,2
Penalties-Yards,12-79,5-35
Third Down Conv.,5-15,1-11
Fourth Down Conv.,0-0,0-0
Time of Possession,34:42,25:18
