Quarter,Time,Tm,Detail,WAS,ATL
1.0,6:01,Falcons,Jay Feely 37 yard field goal,0,3
2.0,14:05,Falcons,T.J. Duckett 13 yard rush (Jay Feely kick),0,10
,13:02,Falcons,T.J. Duckett 1 yard rush (Jay Feely kick),0,17
,8:36,Redskins,Ladell Betts 13 yard rush (John Hall kick),7,17
,5:37,Redskins,Rock Cartwright 1 yard rush (John Hall kick),14,17
,3:27,Falcons,Alge Crumpler 1 yard pass from Doug Johnson (Jay Feely kick),14,24
,0:07,Redskins,John Hall 54 yard field goal,17,24
3.0,9:52,Redskins,Rod Gardner 21 yard pass from Patrick Ramsey (John Hall kick),24,24
,0:19,Redskins,"Safety,",26,24
4.0,12:47,Redskins,Laveranues Coles 19 yard pass from Patrick Ramsey (John Hall kick),33,24
,2:22,Falcons,Jimmy Farris 42 yard pass from Doug Johnson (Jay Feely kick),33,31
