Unnamed: 0,NYG,ATL
First Downs,10,22
Rush-Yds-TDs,21-97-0,38-129-1
Cmp-Att-Yd-TD-INT,13-25-161-0-2,23-28-270-3-0
Sacked-Yards,1-2,1-5
Net Pass Yards,159,265
Total Yards,256,394
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,2-25,3-30
Third Down Conv.,4-10,9-13
Fourth Down Conv.,0-3,0-0
Time of Possession,21:03,38:57
