Quarter,Time,Down,ToGo,Location,NYG,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matt Bosher kicks off 71 yards, returned by David Wilson for 19 yards (tackle by Cliff Matthews)",0.000,-0.320
1,14:56,1,10,NYG 13,0,0,David Wilson left tackle for 3 yards (tackle by Vance Walker and Thomas DeCoud),-0.320,-0.440
1,14:16,2,7,NYG 16,0,0,Eli Manning pass incomplete short right intended for Hakeem Nicks is intercepted by Asante Samuel at NYG-22 and returned for 6 yards (tackle by Bear Pascoe),-0.440,-4.510
1,14:03,1,10,NYG 16,0,0,Michael Turner right guard for 3 yards (tackle by Keith Rivers),4.510,4.390
1,13:28,2,7,NYG 13,0,0,Michael Turner left end for 8 yards (tackle by Spencer Paysinger),4.390,6.060
1,12:53,1,5,NYG 5,0,0,Michael Turner right guard for 4 yards (tackle by Linval Joseph),6.060,5.910
1,12:14,2,1,NYG 1,0,6,"Michael Turner right guard for 1 yard, touchdown",5.910,7.000
1,12:14,,,NYG 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,12:12,,,ATL 35,0,7,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
1,12:12,1,10,NYG 20,0,7,Eli Manning pass complete short right to Victor Cruz for 4 yards (tackle by Sean Weatherspoon),0.280,0.270
1,11:41,2,6,NYG 24,0,7,David Wilson left tackle for 4 yards (tackle by Chris Hope),0.270,0.100
1,10:59,3,2,NYG 28,0,7,David Wilson left end for 25 yards (tackle by Sean Weatherspoon),0.100,2.460
1,10:15,1,10,ATL 47,0,7,Eli Manning pass incomplete short middle intended for Victor Cruz,2.460,1.910
1,10:11,2,10,ATL 47,0,7,David Wilson left end for 9 yards (tackle by Dunta Robinson),1.910,2.410
1,9:41,3,1,ATL 38,0,7,Eli Manning pass complete short middle to Domenik Hixon for 19 yards (tackle by Robert McClain),2.410,4.310
1,8:54,1,10,ATL 19,0,7,David Wilson right guard for 3 yards (tackle by Akeem Dent and Thomas DeCoud),4.310,4.180
1,8:17,2,7,ATL 16,0,7,Eli Manning pass complete short middle to Victor Cruz for 4 yards (tackle by Chris Hope),4.180,4.190
1,7:34,3,3,ATL 12,0,7,Eli Manning pass incomplete short left intended for Domenik Hixon,4.190,2.730
1,7:29,4,3,ATL 12,0,7,Lawrence Tynes 30 yard field goal no good,2.730,-0.280
1,7:25,1,10,ATL 20,0,7,Matt Ryan pass complete short left to Julio Jones for 4 yards (tackle by Jayron Hosley),0.280,0.270
1,6:41,2,6,ATL 24,0,7,Michael Turner left end for 3 yards (tackle by Jacquian Williams),0.270,-0.030
1,6:02,3,3,ATL 27,0,7,Matt Ryan pass complete short right to Roddy White for 5 yards (tackle by Corey Webster). Penalty on Corey Webster: Defensive Holding (Declined),-0.030,1.070
1,5:42,1,10,ATL 32,0,7,Jacquizz Rodgers left tackle for 3 yards (tackle by Chris L. Canty),1.070,0.930
1,5:05,2,7,ATL 35,0,7,Matt Ryan pass complete short right to Mike Cox for 11 yards (tackle by Stevie Brown),0.930,1.990
1,4:28,1,10,ATL 46,0,7,Jacquizz Rodgers right guard for 6 yards (tackle by Jacquian Williams),1.990,2.260
1,3:50,2,4,NYG 48,0,7,Matt Ryan pass complete deep left to Harry Douglas for 37 yards (tackle by Will Hill),2.260,4.840
1,3:13,1,10,NYG 11,0,7,Michael Turner left tackle for 2 yards (tackle by Chase Blackburn),4.840,4.510
1,2:31,2,8,NYG 9,0,7,Matt Ryan pass complete short left to Jason Snelling for -3 yards (tackle by Chase Blackburn),4.510,3.110
1,1:50,3,11,NYG 12,0,13,"Matt Ryan pass complete short middle to Tony Gonzalez for 12 yards, touchdown",3.110,7.000
1,1:50,,,NYG 2,0,14,Matt Bryant kicks extra point good,0.000,0.000
1,1:43,,,ATL 35,0,14,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
1,1:43,1,10,NYG 20,0,14,Eli Manning pass incomplete deep middle intended for Hakeem Nicks,0.280,-0.270
1,1:36,2,10,NYG 20,0,14,David Wilson right guard for 3 yards (tackle by Jonathan Babineaux and Chris Hope),-0.270,-0.560
1,0:54,3,7,NYG 23,0,14,Eli Manning sacked by Kroy Biermann for -2 yards,-0.560,-1.960
1,0:34,4,9,NYG 21,0,14,"Steve Weatherford punts 58 yards, returned by Dominique Franks for 4 yards (tackle by Mathias Kiwanuka)",-1.960,-0.610
