Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 66 yards, returned by J.J. Moses for 27 yards (tackle by Eric Westmoreland)",0.000,1.000
1,14:54,1,10,HOU 31,0,0,Domanick Williams left guard for 12 yards (tackle by Robert Griffith),1.000,1.800
1,14:14,1,10,HOU 43,0,0,Domanick Williams right guard for 1 yard (tackle by Kenard Lang and Chaun Thompson),1.800,1.390
1,13:38,2,9,HOU 44,0,0,David Carr pass incomplete intended for Moran Norris,1.390,0.690
1,13:32,3,9,HOU 44,0,0,David Carr pass complete to Andre Johnson for 8 yards (tackle by Michael Jameson),0.690,0.070
1,12:46,4,1,CLE 48,0,0,"Chad Stanley punts 48 yards, touchback",0.070,-0.280
1,12:38,1,10,CLE 20,0,0,Kelly Holcomb pass complete to Dennis Northcutt for 48 yards (tackle by Jason Simmons),0.280,3.450
1,11:56,1,10,HOU 32,0,0,Lee Suggs left tackle for -1 yards (tackle by Kailee Wong and Seth Payne),3.450,2.770
1,11:20,2,11,HOU 33,0,0,Lee Suggs left guard for 1 yard (tackle by Jamie Sharper),2.770,2.210
1,10:39,3,10,HOU 32,0,0,Kelly Holcomb pass complete to Aaron Shea for 5 yards (tackle by Jason Babin),2.210,1.720
1,9:56,4,5,HOU 27,3,0,Phil Dawson 45 yard field goal good,1.720,3.000
1,,,,CLE 30,3,0,"Phil Dawson kicks off 69 yards, returned by J.J. Moses for 26 yards (tackle by Sherrod Coates)",0.000,0.740
1,9:43,1,10,HOU 27,3,0,David Carr pass incomplete intended for Andre Johnson,0.740,0.200
1,9:35,2,10,HOU 27,3,0,Domanick Williams left guard for 17 yards (tackle by Earl Little),0.200,1.860
1,9:02,1,10,HOU 44,3,0,Domanick Williams right guard for 8 yards (tackle by Anthony Henry),1.860,2.400
1,8:18,2,2,CLE 48,3,0,Jonathan Wells left guard for 4 yards (tackle by Gerard Warren),2.400,2.650
1,7:36,1,10,CLE 44,3,0,David Carr pass complete to Corey Bradford for 15 yards (tackle by Robert Griffith),2.650,3.640
1,7:01,1,10,CLE 29,3,0,Domanick Williams right guard for 15 yards (tackle by Earl Little),3.640,4.650
1,6:18,1,10,CLE 14,3,0,David Carr pass complete to Domanick Williams for 4 yards (tackle by Alvin McKinley),4.650,4.710
1,5:37,2,6,CLE 10,3,0,Domanick Williams right guard for 4 yards (tackle by Chaun Thompson and Warrick Holdman),4.710,4.730
1,4:54,3,2,CLE 6,3,6,"David Carr pass complete to Jonathan Wells for 6 yards, touchdown",4.730,7.000
1,,,,CLE 2,3,7,Kris Brown kicks extra point good,0.000,0.000
1,,,,HOU 30,3,7,"Kris Brown kicks off 61 yards, returned by Andre King for 24 yards (tackle by Charlie Anderson)",0.000,1.140
1,4:42,1,10,CLE 33,3,7,Kelly Holcomb pass complete to Antonio Bryant for 13 yards (tackle by Jamie Sharper),1.140,1.990
1,4:10,1,10,CLE 46,3,7,Lee Suggs right tackle for 3 yards (tackle by Kailee Wong and Robaire Smith),1.990,1.860
1,3:35,2,7,CLE 49,3,7,Lee Suggs up the middle for 2 yards (tackle by Gary Walker),1.860,1.420
1,2:58,3,5,HOU 49,3,7,Kelly Holcomb pass incomplete intended for Andre King (defended by Kailee Wong),1.420,0.000
1,2:48,4,5,HOU 49,3,7,"Derrick Frost punts 34 yards, fair catch by J.J. Moses",0.000,0.220
1,2:40,1,10,HOU 15,3,7,David Carr pass complete to Andre Johnson for 5 yards (tackle by Lewis Sanders),-0.220,0.080
1,2:01,2,5,HOU 20,3,7,Domanick Williams left guard for -1 yards (tackle by Robert Griffith),0.080,-0.880
1,1:21,3,6,HOU 19,3,7,David Carr pass incomplete (defended by Ebenezer Ekuban),-0.880,-2.140
1,1:14,4,6,HOU 19,3,7,Chad Stanley punts 49 yards (tackle by Tony Hollings),-2.140,-1.660
1,1:02,1,10,CLE 41,3,7,Kelly Holcomb pass complete to Lee Suggs for 9 yards (tackle by DaShon Polk),1.660,2.340
1,0:27,2,1,HOU 50,3,7,Lee Suggs right guard for 3 yards (tackle by Jason Babin),2.340,2.460
Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,HOU 47,3,7,Lee Suggs left tackle for 3 yards (tackle by Corey Sears),2.460,2.320
2,14:18,2,7,HOU 44,3,7,Kelly Holcomb pass incomplete intended for Lee Suggs,2.320,1.620
2,14:13,3,7,HOU 44,3,7,Kelly Holcomb pass complete to Antonio Bryant for 24 yards (tackle by Marlon McCree),1.620,4.240
2,13:31,1,10,HOU 20,3,7,Kelly Holcomb pass complete to Steve Heiden for 11 yards (tackle by Jason Babin),4.240,5.140
2,12:50,1,9,HOU 9,3,7,Lee Suggs right tackle for 1 yard (tackle by DaShon Polk and Robaire Smith),5.140,4.570
2,12:14,2,8,HOU 8,3,7,Kelly Holcomb pass complete to Antonio Bryant for 3 yards (tackle by Dunta Robinson),4.570,4.260
2,11:35,3,5,HOU 5,3,7,Kelly Holcomb pass incomplete intended for Antonio Bryant,4.260,3.010
2,11:28,4,5,HOU 5,6,7,Phil Dawson 22 yard field goal good,3.010,3.000
2,,,,CLE 30,6,7,"Phil Dawson kicks off 58 yards, returned by J.J. Moses for 23 yards (tackle by Mason Unck). Penalty on Quincy Monk: Offensive Holding, 10 yards",0.000,-0.280
2,11:22,1,10,HOU 14,6,7,Domanick Williams left guard for 8 yards (tackle by Anthony Henry),-0.280,0.420
2,10:44,2,2,HOU 22,6,7,David Carr pass complete to Jabar Gaffney for 11 yards (tackle by Lewis Sanders),0.420,1.140
2,10:07,1,10,HOU 33,6,7,Domanick Williams left tackle for 2 yards (tackle by Kenard Lang and Amon Gordon),1.140,0.860
2,9:31,2,8,HOU 35,6,7,David Carr pass complete to Domanick Williams for 1 yard (tackle by Chaun Thompson),0.860,0.300
2,8:43,3,7,HOU 36,6,7,"Penalty on David Carr: Delay of Game, 5 yards (no play)",0.300,-0.360
2,8:23,3,12,HOU 31,6,7,David Carr sacked by Ebenezer Ekuban for -1 yards,-0.360,-1.370
