Unnamed: 0,CLE,HOU
First Downs,18,18
Rush-Yds-TDs,32-137-0,24-136-1
Cmp-Att-Yd-TD-INT,20-29-228-1-2,16-27-130-1-0
Sacked-Yards,1-1,6-28
Net Pass Yards,227,102
Total Yards,364,238
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,6-46,7-52
Third Down Conv.,5-13,3-12
Fourth Down Conv.,0-0,0-1
Time of Possession,34:05,25:55
