Unnamed: 0,CHI,IND
First Downs,25,20
Rush-Yds-TDs,19-125-0,21-98-0
Cmp-Att-Yd-TD-INT,33-43-397-2-0,28-39-322-2-0
Sacked-Yards,0-0,5-24
Net Pass Yards,397,298
Total Yards,522,396
Fumbles-Lost,3-1,2-0
Turnovers,1,0
Penalties-Yards,10-80,9-68
Third Down Conv.,2-9,3-12
Fourth Down Conv.,0-1,1-1
Time of Possession,30:05,29:55
