Quarter,Time,Down,ToGo,Location,CHI,IND,Detail,EPB,EPA
1,1:28,1,10,CHI 40,3,3,Frank Gore left tackle for 16 yards (tackle by Chris Prosinski and Bryce Callahan),2.920,3.970
1,0:59,1,10,CHI 24,3,3,Andrew Luck pass complete short right to Jack Doyle for 4 yards (tackle by Jerrell Freeman),3.970,3.970
1,0:27,2,6,CHI 20,3,3,"Penalty on Andrew Luck: False Start, 5 yards (no play)",3.970,3.300
1,0:09,2,11,CHI 25,3,3,Andrew Luck pass complete short middle to Frank Gore for 4 yards (tackle by Jerrell Freeman),3.300,3.140
Quarter,Time,Down,ToGo,Location,CHI,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,CHI 21,3,3,"Penalty on Dwayne Allen: False Start, 5 yards (no play)",3.140,2.480
2,15:00,3,12,CHI 26,3,3,Andrew Luck pass complete deep right to Phillip Dorsett for 21 yards (tackle by Cre'von LeBlanc),2.480,6.060
2,14:28,1,5,CHI 5,3,3,"Andrew Luck pass complete short right to Dwayne Allen for 3 yards (tackle by Adrian Amos). Dwayne Allen fumbles (forced by Adrian Amos), ball out of bounds at CHI-2",6.060,5.720
2,13:58,2,2,CHI 2,3,3,Andrew Luck pass incomplete (defended by Harold Jones-Quartey),5.720,4.950
2,13:48,3,2,CHI 2,3,3,Andrew Luck pass complete short middle to Chester Rogers for 1 yard (tackle by Bryce Callahan),4.950,3.550
2,13:03,4,1,CHI 1,3,9,"Andrew Luck pass complete short middle to Dwayne Allen for 1 yard, touchdown",3.550,7.000
2,13:03,,,CHI 1,3,10,Adam Vinatieri kicks extra point good,0.000,0.000
2,13:03,,,IND 35,3,10,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
2,12:58,1,10,CHI 25,3,10,Jordan Howard left end for -2 yards (tackle by D'Qwell Jackson),0.610,-0.210
2,12:22,2,12,CHI 23,3,10,Brian Hoyer pass complete short right to Zach Miller for 7 yards (tackle by Mike Adams),-0.210,0.040
2,11:41,3,5,CHI 30,3,10,Brian Hoyer pass complete short middle to Eddie Royal for 12 yards (tackle by D'Qwell Jackson),0.040,1.730
2,11:04,1,10,CHI 42,3,10,Brian Hoyer pass complete short right to Cameron Meredith for 30 yards (tackle by Antonio Morrison),1.730,3.710
2,10:33,1,10,IND 28,3,10,Jordan Howard right guard for 3 yards (tackle by Kendall Langford),3.710,3.570
2,9:58,2,7,IND 25,3,10,"Brian Hoyer pass complete short left to Eddie Royal for 4 yards (tackle by Darius Butler). Eddie Royal fumbles (forced by Darius Butler), recovered by Josh Sitton at IND-21",3.570,3.400
2,9:04,3,3,IND 21,3,10,"Brian Hoyer pass complete short right to Eddie Royal for 4 yards (tackle by Darius Butler). Penalty on Kyle Long: Offensive Holding, 10 yards (no play)",3.400,2.080
2,8:35,3,13,IND 31,3,10,Brian Hoyer pass incomplete,2.080,1.320
2,8:27,4,13,IND 31,6,10,Connor Barth 49 yard field goal good,1.320,3.000
2,8:27,,,CHI 35,6,10,"Connor Barth kicks off 66 yards, returned by Quan Bray for 39 yards (tackle by Christian Jones)",0.000,-1.470
2,8:15,1,10,IND 38,6,10,"Andrew Luck for no gain. Andrew Luck fumbles, recovered by Andrew Luck at IND-34",1.470,0.380
2,7:36,2,14,IND 34,6,10,Andrew Luck pass complete deep middle to T.Y. Hilton for 22 yards (tackle by Chris Prosinski),0.380,2.650
2,7:04,1,10,CHI 44,6,10,Andrew Luck pass incomplete short middle intended for Quan Bray (defended by Cre'von LeBlanc),2.650,2.110
2,6:59,2,10,CHI 44,6,10,Andrew Luck pass complete short left to Josh Ferguson for 9 yards (tackle by Chris Prosinski and Jerrell Freeman),2.110,2.610
2,6:19,3,1,CHI 35,6,10,Andrew Luck pass incomplete short right intended for Chester Rogers,2.610,1.000
2,6:13,4,1,CHI 35,6,13,Adam Vinatieri 53 yard field goal good,1.000,3.000
2,6:13,,,IND 35,6,13,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
2,6:08,1,10,CHI 25,6,13,Jordan Howard right end for 57 yards (tackle by Mike Adams),0.610,4.370
2,5:33,1,10,IND 18,6,13,Jordan Howard left tackle for 3 yards (tackle by Josh McNary),4.370,4.250
2,4:53,2,7,IND 15,6,13,"Brian Hoyer pass complete short right to Cameron Meredith for 11 yards (tackle by Patrick Robinson). Cameron Meredith fumbles (forced by Patrick Robinson), recovered by Cameron Meredith at IND-4",4.250,6.280
2,4:33,1,4,IND 4,6,13,Jordan Howard right guard for no gain (tackle by Mike Adams),6.280,5.340
2,3:49,2,4,IND 4,6,13,"Jordan Howard left tackle for 4 yards. Penalty on Logan Paulsen: Offensive Holding, 10 yards (no play)",5.340,3.580
2,3:43,2,14,IND 14,12,13,"Brian Hoyer pass complete short right to Cameron Meredith for 14 yards, touchdown",3.580,7.000
2,3:43,,,IND 14,13,13,Connor Barth kicks extra point good,0.000,0.000
2,3:43,,,CHI 35,13,13,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
2,3:35,1,10,IND 25,13,13,Frank Gore middle for 4 yards (tackle by Akiem Hicks and Sam Acho),0.610,0.600
2,3:14,2,6,IND 29,13,13,"Andrew Luck pass complete short right to T.Y. Hilton for 19 yards (tackle by Christian Jones). Penalty on Joe Haeg: Illegal Use of Hands, 10 yards (no play)",0.600,-0.810
2,2:50,2,16,IND 19,13,13,Andrew Luck pass complete deep right to T.Y. Hilton for 31 yards (tackle by Adrian Amos),-0.810,2.260
2,2:18,1,10,,13,13,"Penalty on Ryan Kelly: False Start, 5 yards (no play)",2.260,1.930
2,2:00,1,15,IND 45,13,13,Andrew Luck pass complete short left to Josh Ferguson for 1 yard (tackle by Bryce Callahan),1.930,1.170
2,1:36,2,14,IND 46,13,13,Andrew Luck pass incomplete short right intended for T.Y. Hilton (defended by Tracy Porter),1.170,0.500
2,1:31,3,14,IND 46,13,13,Andrew Luck pass complete deep right to T.Y. Hilton for 20 yards (tackle by Tracy Porter),0.500,3.310
2,1:20,1,10,CHI 34,13,13,Josh Ferguson middle for 3 yards (tackle by Mitch Unrein),3.310,3.180
2,0:59,2,7,CHI 31,13,13,Andrew Luck pass complete short middle to T.Y. Hilton for 21 yards (tackle by Chris Prosinski),3.180,4.910
2,0:35,1,10,CHI 10,13,13,Andrew Luck pass complete short right to Phillip Dorsett for 5 yards (tackle by Tracy Porter),4.910,4.910
2,0:27,1,10,CHI 10,13,13,Timeout #1 by Indianapolis Colts,4.910,5.150
2,0:27,2,5,CHI 5,13,13,Andrew Luck pass complete short left to Chester Rogers for 4 yards (tackle by Bryce Callahan),5.150,5.150
2,0:22,2,5,CHI 5,13,13,Timeout #2 by Indianapolis Colts,5.150,5.170
2,0:22,3,1,CHI 1,13,13,Andrew Luck sacked by Willie Young for -7 yards,5.170,5.170
2,0:16,3,1,CHI 1,13,13,Timeout #3 by Indianapolis Colts,5.170,2.950
2,0:16,4,8,CHI 8,13,16,Adam Vinatieri 26 yard field goal good,2.950,3.000
2,0:16,,,IND 35,13,16,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
2,0:11,1,10,CHI 25,13,16,Brian Hoyer kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,CHI,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,13,16,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,IND 25,13,16,Frank Gore right guard for 2 yards (tackle by Jerrell Freeman),0.610,0.330
3,14:32,2,8,IND 27,13,16,Andrew Luck pass complete short middle to Jack Doyle for 4 yards (tackle by Jerrell Freeman),0.330,0.170
3,13:52,3,4,IND 31,13,16,Andrew Luck middle for 3 yards (tackle by Danny Trevathan),0.170,-1.110
3,13:17,4,1,IND 34,13,16,"Pat McAfee punts 66 yards, touchback",-1.110,-0.280
3,13:05,1,10,CHI 20,13,16,Jordan Howard middle for 2 yards (tackle by D'Qwell Jackson),0.280,0.000
3,12:31,2,8,CHI 22,13,16,Brian Hoyer pass complete deep right to Cameron Meredith for 18 yards,0.000,1.600
3,12:01,1,10,CHI 40,13,16,Jordan Howard right end for 2 yards (tackle by Kendall Langford),1.600,1.320
3,11:25,2,8,CHI 42,13,16,Brian Hoyer pass incomplete short left intended for Cameron Meredith,1.320,0.630
3,11:21,3,8,CHI 42,13,16,Brian Hoyer pass incomplete,0.630,-0.590
3,11:15,4,8,CHI 42,13,16,"Pat O'Donnell punts 46 yards, returned by Quan Bray for 20 yards (tackle by Sam Acho)",-0.590,-1.070
3,11:00,1,10,IND 32,13,16,Frank Gore left tackle for 3 yards (tackle by Mitch Unrein),1.070,0.930
3,10:28,2,7,IND 35,13,16,Andrew Luck pass incomplete short left intended for Chester Rogers (defended by Bryce Callahan),0.930,0.230
3,10:22,3,7,IND 35,13,16,"Andrew Luck pass incomplete short left intended for T.Y. Hilton. Penalty on Bryce Callahan: Illegal Contact, 5 yards (no play)",0.230,1.600
3,10:17,1,10,IND 40,13,16,Andrew Luck pass incomplete deep middle intended for Chester Rogers,1.600,1.050
3,10:11,2,10,IND 40,13,16,Andrew Luck pass complete short middle to Dwayne Allen for 17 yards (tackle by Chris Prosinski),1.050,2.720
3,9:32,1,10,CHI 43,13,16,Andrew Luck pass complete short left to Quan Bray for 7 yards (tackle by Bryce Callahan),2.720,3.120
3,8:50,2,3,CHI 36,13,16,Andrew Luck sacked by Akiem Hicks for -8 yards,3.120,1.360
3,8:04,3,11,CHI 44,13,16,Andrew Luck pass complete deep left to Chester Rogers for 19 yards,1.360,3.910
3,7:44,1,10,CHI 25,13,16,Frank Gore right end for -1 yards (tackle by Adrian Amos and Willie Young),3.910,3.230
3,7:17,2,11,CHI 26,13,16,Frank Gore middle for 6 yards (tackle by Jonathan Bullard),3.230,3.340
3,6:36,3,5,CHI 20,13,16,Andrew Luck sacked by Jonathan Bullard for -3 yards,3.340,1.930
3,5:58,4,8,CHI 23,13,19,Adam Vinatieri 41 yard field goal good,1.930,3.000
3,5:58,,,IND 35,13,19,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
3,5:52,1,10,CHI 25,13,19,Brian Hoyer pass complete short middle to Cameron Meredith for 13 yards (tackle by Darius Butler),0.610,1.470
3,5:25,1,10,CHI 38,13,19,"Jordan Howard left end for 10 yards (tackle by Clayton Geathers and Henry Anderson). Penalty on Henry Anderson: Unnecessary Roughness, 15 yards",1.470,3.120
3,5:02,1,10,IND 37,13,19,Brian Hoyer pass incomplete short right intended for Logan Paulsen,3.120,2.570
3,4:56,2,10,IND 37,13,19,"Penalty on Brian Hoyer: Delay of Game, 5 yards (no play)",2.570,1.900
3,4:56,2,15,IND 42,13,19,Brian Hoyer pass complete short left to Jordan Howard for 6 yards (tackle by Antonio Morrison),1.900,2.010
3,4:16,3,9,IND 36,13,19,Brian Hoyer pass incomplete deep left intended for Eddie Royal,2.010,0.880
3,4:11,4,9,IND 36,13,19,"Connor Barth 54 yard field goal no good. Penalty on T.J. Green: Running Into the Kicker, 5 yards (no play)",0.880,1.370
3,4:06,4,4,IND 31,13,19,Connor Barth 49 yard field goal no good,1.370,-1.530
3,4:01,1,10,IND 39,13,19,Frank Gore right tackle for 2 yards (tackle by Cornelius Washington),1.530,1.260
3,3:37,2,8,IND 41,13,19,Andrew Luck pass complete short middle to T.Y. Hilton for 6 yards (tackle by Adrian Amos),1.260,1.360
3,2:59,3,2,IND 47,13,19,"Andrew Luck pass incomplete short middle intended for Josh Ferguson. Penalty on Andrew Luck: Intentional Grounding, 13 yards",1.360,-1.110
3,2:53,4,15,IND 34,13,19,"Pat McAfee punts 50 yards, fair catch by Cre'von LeBlanc. Penalty on Paul Lasike: Running Into the Kicker (Declined)",-1.110,0.140
3,2:46,1,10,CHI 16,13,19,Brian Hoyer pass complete deep right to Alshon Jeffery for 38 yards (tackle by Patrick Robinson),-0.140,2.520
3,2:02,1,10,IND 46,13,19,Jordan Howard right end for 3 yards (tackle by D'Qwell Jackson and Antonio Morrison),2.520,2.380
3,1:23,2,7,IND 43,13,19,Brian Hoyer pass complete short right to Alshon Jeffery for 8 yards (tackle by D'Qwell Jackson),2.380,3.250
3,0:49,1,10,IND 35,13,19,Brian Hoyer pass complete short middle to Zach Miller for 10 yards (tackle by Patrick Robinson and D'Qwell Jackson),3.250,3.910
3,0:12,1,10,IND 25,13,19,Brian Hoyer pass complete short left to Josh Bellamy for 14 yards (tackle by Clayton Geathers),3.910,4.840
Quarter,Time,Down,ToGo,Location,CHI,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,IND 11,13,19,Jordan Howard left end for no gain (tackle by Erik Walden),4.840,4.140
4,14:22,2,10,IND 11,13,19,Brian Hoyer pass complete short right to Cameron Meredith for 5 yards (tackle by Rashaan Melvin),4.140,4.210
4,13:40,3,5,IND 6,13,19,Brian Hoyer pass incomplete short left intended for Eddie Royal,4.210,2.990
4,13:36,4,5,IND 6,16,19,Connor Barth 24 yard field goal good,2.990,3.000
4,13:36,,,CHI 35,16,19,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
4,13:31,1,10,IND 25,16,19,Andrew Luck pass incomplete short right intended for Jack Doyle,0.610,0.060
4,13:25,2,10,IND 25,16,19,Frank Gore middle for 2 yards (tackle by Danny Trevathan),0.060,-0.360
4,12:45,3,8,IND 27,16,19,Andrew Luck sacked by Willie Young for -5 yards,-0.360,-1.900
4,12:04,4,13,IND 22,16,19,Pat McAfee punts 74 yards,-1.900,0.380
4,11:49,1,10,CHI 4,16,19,Brian Hoyer pass complete short right to Alshon Jeffery for 8 yards (tackle by Vontae Davis),-0.380,-0.200
4,11:20,2,2,CHI 12,16,19,Jordan Howard left guard for 4 yards (tackle by David Parry),-0.200,-0.140
4,10:46,1,10,CHI 16,16,19,Brian Hoyer pass complete short left to Zach Miller for 3 yards (tackle by Clayton Geathers),-0.140,-0.180
4,10:13,2,7,CHI 19,16,19,Jordan Howard left end for 12 yards (tackle by Erik Walden),-0.180,-0.180
4,9:48,2,7,CHI 19,16,19,Timeout #1 by Indianapolis Colts,-0.180,1.000
4,9:48,1,10,CHI 31,16,19,Brian Hoyer pass complete deep right to Zach Miller for 23 yards (tackle by Clayton Geathers),1.000,2.520
4,9:04,1,10,IND 46,16,19,Brian Hoyer pass complete short left to Eddie Royal for 5 yards (tackle by Mike Adams),2.520,2.650
4,8:34,2,5,IND 41,16,19,Jordan Howard left end for 6 yards (tackle by Antonio Morrison),2.650,3.250
4,7:48,1,10,IND 35,16,19,Brian Hoyer pass complete short left to Cameron Meredith for 14 yards (tackle by Zach Kerr),3.250,4.170
4,7:12,1,10,IND 21,22,19,"Brian Hoyer pass complete short middle to Jordan Howard for 21 yards, touchdown",4.170,7.000
4,7:12,,,IND 21,23,19,Connor Barth kicks extra point good,0.000,0.000
4,7:12,,,CHI 35,23,19,"Connor Barth kicks off 68 yards, returned by Jordan Todman for 21 yards (tackle by DeAndre Houston-Carson)",0.000,-0.040
4,6:58,1,10,IND 18,23,19,Andrew Luck pass complete short left to T.Y. Hilton for 5 yards (tackle by Jacoby Glenn),0.040,0.280
4,6:34,2,5,IND 23,23,19,Andrew Luck pass complete short left to Dwayne Allen for 20 yards (tackle by Chris Prosinski),0.280,1.800
4,6:34,1,10,IND 43,23,19,"Penalty on Willie Young: Neutral Zone Infraction, 5 yards (no play)",1.800,2.530
4,5:38,1,5,IND 48,23,19,Andrew Luck pass complete short left to Dwayne Allen for 6 yards (tackle by Jacoby Glenn),2.530,2.520
4,5:10,1,10,CHI 46,23,19,Andrew Luck pass complete short left to T.Y. Hilton for 8 yards (tackle by Danny Trevathan),2.520,3.060
4,4:33,2,2,CHI 38,23,19,Frank Gore left tackle for 3 yards (tackle by Akiem Hicks and Danny Trevathan),3.060,3.250
4,3:51,1,10,CHI 35,23,25,"Andrew Luck pass complete deep middle to T.Y. Hilton for 35 yards, touchdown",3.250,7.000
4,3:51,,,CHI 35,23,26,Adam Vinatieri kicks extra point good,0.000,0.000
4,3:51,,,IND 35,23,26,"Pat McAfee kicks off 69 yards, returned by Deonte Thompson for 19 yards (tackle by Josh Ferguson)",0.000,0.220
4,3:38,1,10,CHI 15,23,26,"Brian Hoyer pass complete short right to Cameron Meredith for 12 yards (tackle by Rashaan Melvin). Cameron Meredith fumbles (forced by Rashaan Melvin), recovered by D'Qwell Jackson at CHI-29 (tackle by Jordan Howard)",-0.220,-3.640
4,3:29,1,10,CHI 29,23,26,"Penalty on Jack Mewhort: False Start, 5 yards (no play)",3.640,3.310
4,3:29,1,15,CHI 34,23,26,Frank Gore right guard for 5 yards (tackle by Willie Young),3.310,3.100
4,2:45,2,10,CHI 29,23,26,Frank Gore middle for 6 yards (tackle by Jerrell Freeman),3.100,3.100
4,2:39,2,10,CHI 29,23,26,Timeout #1 by Chicago Bears,3.100,3.200
4,2:39,3,4,CHI 23,23,26,"Penalty on Andrew Luck: Delay of Game, 5 yards (no play)",3.200,2.540
4,2:39,3,9,CHI 28,23,26,Andrew Luck pass incomplete deep right intended for Phillip Dorsett (defended by Cre'von LeBlanc),2.540,1.590
4,2:33,4,9,CHI 28,23,29,Adam Vinatieri 46 yard field goal good,1.590,3.000
4,2:33,,,IND 35,23,29,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
4,2:28,1,10,CHI 25,23,29,Brian Hoyer pass complete short right to Cameron Meredith for 13 yards (tackle by Rashaan Melvin),0.610,1.470
4,2:23,1,10,CHI 38,23,29,Brian Hoyer pass complete short left to Alshon Jeffery for 15 yards,1.470,2.460
4,2:18,1,10,IND 47,23,29,Brian Hoyer pass complete short middle to Zach Miller for 17 yards (tackle by Darius Butler),2.460,3.580
4,2:00,1,10,IND 30,23,29,Brian Hoyer pass incomplete deep right intended for Alshon Jeffery,3.580,3.030
4,1:56,2,10,IND 30,23,29,Brian Hoyer pass complete short right to Zach Miller for 5 yards (tackle by Clayton Geathers),3.030,3.030
4,1:52,2,10,IND 30,23,29,Timeout #2 by Indianapolis Colts,3.030,3.010
4,1:52,3,5,IND 25,23,29,"Brian Hoyer pass incomplete deep middle intended for Cameron Meredith. Penalty on Bobby Massie: Offensive Holding, 10 yards (no play)",3.010,1.680
4,1:47,3,15,IND 35,23,29,Brian Hoyer pass complete short left to Eddie Royal for 7 yards (tackle by T.Y. McGill),1.680,1.590
4,1:02,4,8,IND 28,23,29,Brian Hoyer pass incomplete deep right intended for Cameron Meredith,1.590,-0.810
4,0:57,1,10,IND 28,23,29,Frank Gore right end for 13 yards (tackle by Jacoby Glenn),0.810,0.810
4,0:48,1,10,IND 28,23,29,Timeout #2 by Chicago Bears,0.810,1.660
4,0:48,1,10,IND 41,23,29,Andrew Luck kneels for -1 yards,1.660,0.990
4,0:07,2,11,IND 40,23,29,Andrew Luck kneels for -1 yards,0.990,0.170
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
