Quarter,Time,Down,ToGo,Location,GNB,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 67 yards, returned by Malik Taylor for 26 yards (tackle by Mike Hughes)",,
1,14:56,1,10,GNB 24,0,0,Jordan Love pass incomplete short right intended for Dominique Dafney,,
1,14:51,2,10,GNB 24,0,0,Aaron Jones right end for 4 yards (tackle by Jarran Reed and Anthony Hitchens),,
1,14:08,3,6,GNB 28,0,0,Jordan Love pass incomplete short left intended for Aaron Jones,,
1,14:01,4,6,GNB 28,0,0,"Corey Bojorquez punts 39 yards, returned by Mecole Hardman for 3 yards (tackle by Oren Burks)",,
1,13:51,1,10,KAN 36,0,0,Patrick Mahomes pass complete short left to Tyreek Hill for 2 yards (tackle by Kevin King),,
1,13:18,2,8,KAN 38,0,0,Patrick Mahomes pass incomplete short right intended for Tyreek Hill,,
1,13:14,3,8,KAN 38,0,0,Patrick Mahomes pass complete short middle to Travis Kelce for 7 yards (tackle by Chandon Sullivan),,
1,12:38,4,1,KAN 45,0,0,Darrel Williams up the middle for 11 yards (tackle by Darnell Savage and Adrian Amos),,
1,12:03,1,10,GNB 44,0,0,Patrick Mahomes pass complete short right to Tyreek Hill for 10 yards (tackle by Rasul Douglas),,
1,11:29,1,10,GNB 34,0,0,Darrel Williams up the middle for 7 yards (tackle by Jonathan Garvin and Krys Barnes),,
1,10:56,2,3,GNB 27,0,0,Darrel Williams left end for 7 yards (tackle by De'Vondre Campbell and Kevin King),,
1,10:14,1,10,GNB 20,0,0,Patrick Mahomes pass incomplete short left,,
1,10:09,2,10,GNB 20,0,0,Darrel Williams right guard for 2 yards (tackle by Krys Barnes),,
1,9:26,3,8,GNB 18,0,0,"Patrick Mahomes pass complete short middle to Tyreek Hill for no gain (tackle by De'Vondre Campbell). Penalty on Rasul Douglas: Defensive Holding, 5 yards (accepted) (no play)",,
1,9:05,1,10,GNB 13,0,0,Patrick Mahomes pass complete short middle to Mecole Hardman for 4 yards (tackle by Rasul Douglas),,
1,8:29,2,6,GNB 9,0,0,Patrick Mahomes pass complete short middle to Demarcus Robinson for 2 yards (tackle by De'Vondre Campbell),,
1,7:47,3,4,GNB 7,0,0,Darrel Williams right end for 6 yards (tackle by Rasul Douglas and Adrian Amos),,
1,7:14,1,1,GNB 1,0,0,Darrel Williams up the middle for no gain (tackle by Krys Barnes),,
1,6:36,2,1,GNB 1,0,0,Darrel Williams up the middle for no gain (tackle by Tyler Lancaster and De'Vondre Campbell),,
1,6:00,3,1,GNB 1,0,6,"Patrick Mahomes pass complete short middle to Travis Kelce for 1 yard, touchdown",,
1,5:56,,,GNB 15,0,7,Harrison Butker kicks extra point good,,
1,5:56,,,KAN 35,0,7,"Harrison Butker kicks off 65 yards, touchback.",,
1,5:56,1,10,GNB 25,0,7,AJ Dillon up the middle for 9 yards (tackle by Derrick Nnadi),,
1,5:18,2,1,GNB 34,0,7,AJ Dillon up the middle for 15 yards (tackle by Tyrann Mathieu and Nick Bolton),,
1,4:37,1,10,GNB 49,0,7,Jordan Love pass complete short right to Davante Adams for 10 yards (tackle by Tyrann Mathieu),,
1,3:49,1,10,KAN 41,0,7,AJ Dillon up the middle for 2 yards (tackle by Derrick Nnadi),,
1,3:04,2,8,KAN 39,0,7,Jordan Love pass complete to AJ Dillon for 15 yards (tackle by L'Jarius Sneed),,
1,2:22,1,10,KAN 24,0,7,Aaron Jones up the middle for 3 yards (tackle by Nick Bolton and Anthony Hitchens),,
1,1:40,2,7,KAN 21,0,7,Aaron Jones up the middle for -1 yards (tackle by Frank Clark and Nick Bolton),,
1,0:56,3,8,KAN 22,0,7,Jordan Love pass incomplete short left intended for Aaron Jones,,
1,0:52,4,8,KAN 22,0,7,Mason Crosby 40 yard field goal no good,,
1,0:48,1,10,KAN 30,0,7,Patrick Mahomes pass incomplete short right intended for Travis Kelce,,
1,0:44,2,10,KAN 30,0,7,Patrick Mahomes pass complete short left to Darrel Williams for 7 yards (tackle by Kenny Clark),,
1,0:03,3,3,KAN 37,0,7,Patrick Mahomes pass complete short left to Jerick McKinnon for 2 yards (tackle by Oren Burks),,
Quarter,Time,Down,ToGo,Location,GNB,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,KAN 39,0,7,Patrick Mahomes pass complete short right to Darrel Williams for -2 yards (tackle by Darnell Savage and Krys Barnes),,
2,14:54,1,10,KAN 37,0,7,Aaron Jones left end for 7 yards (tackle by Nick Bolton and Charvarius Ward),,
2,14:08,2,3,KAN 30,0,7,Aaron Jones left end for 7 yards (tackle by Juan Thornhill),,
2,13:25,1,10,KAN 23,0,7,Aaron Jones right end for -2 yards (tackle by Rashad Fenton and L'Jarius Sneed),,
2,12:36,2,12,KAN 25,0,7,"Penalty on Royce Newman: False Start, 5 yards (accepted) (no play)",,
2,12:13,2,17,KAN 30,0,7,Jordan Love pass complete short left to AJ Dillon for 5 yards,,
2,11:31,3,12,KAN 25,0,7,Jordan Love pass complete short left to Davante Adams for 6 yards (tackle by L'Jarius Sneed),,
2,10:51,4,6,KAN 19,0,7,Mason Crosby 37 yard field goal no good blocked by Alex Okafor,,
2,10:41,1,10,KAN 19,0,7,Derrick Gore left guard for 6 yards (tackle by Dean Lowry),,
2,10:09,2,4,KAN 25,0,7,Patrick Mahomes pass complete short left to Mecole Hardman for 7 yards (tackle by Kevin King and Chandon Sullivan),,
2,9:24,1,10,KAN 32,0,7,Patrick Mahomes pass complete short right to Tyreek Hill for 12 yards (tackle by Rasul Douglas),,
2,8:48,1,10,KAN 44,0,7,Patrick Mahomes pass incomplete deep right intended for Mecole Hardman,,
2,8:39,2,10,KAN 44,0,7,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,,
2,8:35,3,10,KAN 44,0,7,Patrick Mahomes pass incomplete short right intended for Tyreek Hill,,
2,8:30,4,10,KAN 44,0,7,Tommy Townsend punts 54 yards downed by Marcus Kemp,,
2,8:19,1,10,GNB 2,0,7,Jordan Love pass complete short right to AJ Dillon for 21 yards (tackle by Juan Thornhill and Anthony Hitchens),,
2,7:34,1,10,GNB 23,0,7,Jordan Love scrambles right end for 8 yards (tackle by Charvarius Ward),,
2,6:58,2,2,GNB 31,0,7,Aaron Jones right guard for 5 yards (tackle by Anthony Hitchens),,
2,6:17,1,10,GNB 36,0,7,"Jordan Love pass incomplete short right intended for Davante Adams. Penalty on Charvarius Ward: Defensive Pass Interference, 5 yards (accepted) (no play)",,
2,6:13,1,10,GNB 41,0,7,Jordan Love scrambles up the middle for 3 yards (tackle by Tershawn Wharton),,
2,5:27,2,7,GNB 44,0,7,AJ Dillon up the middle for 1 yard (tackle by Tershawn Wharton and Melvin Ingram),,
2,4:45,3,6,GNB 45,0,7,Jordan Love pass incomplete deep left intended for Davante Adams (defended by Charvarius Ward),,
2,4:37,4,6,GNB 45,0,7,"Corey Bojorquez punts 55 yards, touchback.",,
2,4:31,1,10,KAN 20,0,7,Patrick Mahomes pass incomplete deep left intended for Tyreek Hill,,
2,4:23,2,10,KAN 20,0,7,Darrel Williams up the middle for 4 yards (tackle by Tyler Lancaster),,
2,3:44,3,7,KAN 24,0,7,"Patrick Mahomes pass is intercepted by Adrian Amos at GB-46 and returned for no gain. Penalty on Oren Burks: Defensive Offside, 5 yards (accepted) (no play)",,
2,3:24,3,2,KAN 29,0,7,Derrick Gore left guard for no gain (tackle by Rashan Gary and De'Vondre Campbell),,
2,2:34,4,1,KAN 29,0,7,"Tommy Townsend punts 71 yards, touchback. KAN challenged the kick touched ruling, and the original play was overturned. Tommy Townsend punts 51 yards, recovered by Chris Lammons at GB-10",,
2,2:41,1,10,GNB 10,0,7,Darrel Williams left end for 7 yards (tackle by De'Vondre Campbell and Darnell Savage),,
2,2:00,2,3,GNB 3,0,7,Patrick Mahomes pass incomplete short left intended for Mecole Hardman (defended by Darnell Savage),,
2,1:58,,,,,,Timeout #1 by Green Bay Packers,,
2,1:58,3,3,GNB 3,0,7,Patrick Mahomes pass complete short left to Darrel Williams for 2 yards (tackle by Krys Barnes),,
2,1:54,4,1,GNB 1,0,7,"Penalty on Darrel Williams: False Start, 5 yards (accepted) (no play)",,
2,1:54,4,6,GNB 6,0,10,Harrison Butker 24 yard field goal good,,
