Quarter,Time,Tm,Detail,GNB,KAN
1.0,5:56,Chiefs,Travis Kelce 1 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
2.0,1:51,Chiefs,Harrison Butker 24 yard field goal,0,10
,0:01,Chiefs,Harrison Butker 55 yard field goal,0,13
4.0,4:54,Packers,Allen Lazard 20 yard pass from Jordan Love (Mason Crosby kick),7,13
