Unnamed: 0,GNB,KAN
First Downs,19,14
Rush-Yds-TDs,25-122-0,25-77-0
Cmp-Att-Yd-TD-INT,19-34-190-1-1,20-37-166-1-0
Sacked-Yards,1-11,1-6
Net Pass Yards,179,160
Total Yards,301,237
Fumbles-Lost,3-1,1-0
Turnovers,2,0
Penalties-Yards,4-19,6-33
Third Down Conv.,2-12,5-14
Fourth Down Conv.,2-3,1-2
Time of Possession,31:33,28:27
