Quarter,Time,Tm,Detail,TAM,DAL
1.0,10:57,Buccaneers,Matt Bryant 36 yard field goal,3,0
,1:09,Buccaneers,Matt Bryant 36 yard field goal,6,0
2.0,9:29,Cowboys,Nick Folk 38 yard field goal,6,3
,0:01,Cowboys,Roy Williams 2 yard pass from Brad Johnson (Nick Folk kick),6,10
3.0,5:13,Cowboys,Nick Folk 45 yard field goal,6,13
,0:34,Buccaneers,Matt Bryant 41 yard field goal,9,13
