Unnamed: 0,TAM,DAL
First Downs,15,17
Rush-Yds-TDs,20-49-0,26-70-0
Cmp-Att-Yd-TD-INT,27-43-227-0-0,19-33-122-1-0
Sacked-Yards,2-14,3-20
Net Pass Yards,213,102
Total Yards,262,172
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,7-58,5-35
Third Down Conv.,6-17,3-15
Fourth Down Conv.,2-3,2-2
Time of Possession,31:37,28:23
