Unnamed: 0,CHI,GNB
First Downs,20,12
Rush-Yds-TDs,27-96-0,24-100-2
Cmp-Att-Yd-TD-INT,29-53-334-1-2,16-33-203-1-0
Sacked-Yards,3-15,1-11
Net Pass Yards,319,192
Total Yards,415,292
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,4-35,4-30
Third Down Conv.,9-20,5-15
Fourth Down Conv.,0-3,1-3
Time of Possession,34:22,25:38
