Quarter,Time,Down,ToGo,Location,CHI,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, returned by Cordarrelle Patterson for 18 yards (tackle by Josh Jackson)",0.000,0.040
1,14:54,1,10,CHI 18,0,0,Mitchell Trubisky pass complete short left to Tarik Cohen for 7 yards (tackle by Ibraheim Campbell),0.040,0.550
1,14:24,2,3,CHI 25,0,0,Tarik Cohen left end for -3 yards (tackle by Kenny Clark),0.550,-0.660
1,14:02,3,6,CHI 22,0,0,Mitchell Trubisky pass complete short right to Allen Robinson for 9 yards (tackle by Jaire Alexander),-0.660,1.000
1,13:34,1,10,CHI 31,0,0,David Montgomery right tackle for 1 yard (tackle by Chandon Sullivan and Kenny Clark),1.000,0.600
1,12:52,2,9,CHI 32,0,0,Mitchell Trubisky pass complete short right to J.P. Holtz for -1 yards (tackle by Adrian Amos),0.600,-0.230
1,12:12,3,10,CHI 31,0,0,Mitchell Trubisky right guard for 5 yards (tackle by Blake Martinez),-0.230,-0.980
1,11:36,4,5,CHI 36,0,0,"Pat O'Donnell punts 46 yards, returned by Tyler Ervin for 12 yards (tackle by Nick Kwiatkoski and Josh Woods)",-0.980,-0.940
1,11:25,1,10,GNB 30,0,0,Aaron Rodgers pass incomplete deep middle intended for Marquez Valdes-Scantling,0.940,0.390
1,11:18,2,10,GNB 30,0,0,Aaron Jones left end for 4 yards (tackle by Akiem Hicks),0.390,0.230
1,10:33,3,6,GNB 34,0,0,Aaron Rodgers pass complete short left to Davante Adams for 7 yards (tackle by Buster Skrine),0.230,1.660
1,9:58,1,10,GNB 41,0,0,Aaron Rodgers pass incomplete deep right intended for Jimmy Graham,1.660,1.120
1,9:53,2,10,GNB 41,0,0,Aaron Jones up the middle for 5 yards (tackle by Isaiah Irving and Nick Kwiatkoski),1.120,1.090
1,9:15,3,5,GNB 46,0,0,Aaron Rodgers pass incomplete short left intended for Geronimo Allison,1.090,-0.320
1,9:09,4,5,GNB 46,0,0,"JK Scott punts 43 yards, returned by Tarik Cohen for 14 yards (tackle by Hunter Bradley and Jamaal Williams)",-0.320,-0.610
1,8:59,1,10,CHI 25,0,0,David Montgomery left tackle for 1 yard (tackle by Kenny Clark),0.610,0.200
1,8:19,2,9,CHI 26,0,0,Mitchell Trubisky sacked by Kenny Clark for -7 yards,0.200,-1.510
1,7:40,3,16,CHI 19,0,0,Mitchell Trubisky pass complete short right to Riley Ridley for -3 yards (tackle by Jaire Alexander),-1.510,-2.390
1,7:04,4,19,CHI 16,0,0,"Pat O'Donnell punts 34 yards downed by Cordarrelle Patterson. Penalty on Cordarrelle Patterson: Kick Catch Interference, 15 yards",-2.390,-3.250
1,6:55,1,10,CHI 35,0,0,Aaron Jones right end for 1 yard (tackle by Kyle Fuller),3.250,2.840
1,6:29,2,9,CHI 34,0,0,Aaron Jones left tackle for 1 yard (tackle by Akiem Hicks),2.840,2.280
1,5:41,3,8,CHI 33,0,0,Aaron Rodgers pass complete short right to Allen Lazard for 4 yards (tackle by Kevin Pierre-Louis),2.280,1.560
1,4:53,,,,,,Timeout #1 by Green Bay Packers,,
1,4:53,4,4,CHI 29,0,6,"Aaron Rodgers pass complete deep left to Davante Adams for 29 yards, touchdown",1.560,7.000
1,4:47,,,CHI 15,0,7,Mason Crosby kicks extra point good,0.000,0.000
1,4:47,,,GNB 35,0,7,"Mason Crosby kicks off 54 yards, returned by Cordarrelle Patterson for 26 yards (tackle by Jake Kumerow and Ty Summers)",0.000,1.400
1,4:38,1,10,CHI 37,0,7,Mitchell Trubisky pass complete short left to Tarik Cohen for 6 yards (tackle by Kevin King),1.400,1.670
1,4:07,,,,,,Timeout #1 by Chicago Bears,,
1,4:07,2,4,CHI 43,0,7,David Montgomery right guard for no gain (tackle by Tyler Lancaster),1.670,0.960
1,3:47,3,4,CHI 43,0,7,David Montgomery right end for -1 yards (tackle by Preston Smith and Blake Martinez),0.960,-0.590
1,3:06,4,5,CHI 42,0,7,Pat O'Donnell punts 33 yards out of bounds,-0.590,-0.610
1,2:58,1,10,GNB 25,0,7,Aaron Rodgers pass complete short left to Geronimo Allison for 8 yards (tackle by Kevin Toliver),0.610,1.140
1,2:25,2,2,GNB 33,0,7,Jamaal Williams right end for 1 yard (tackle by Brent Urban),1.140,0.560
1,1:39,3,1,GNB 34,0,7,Jamaal Williams right guard for 6 yards (tackle by Nick Kwiatkoski and Ha Ha Clinton-Dix),0.560,1.600
