Unnamed: 0,NOR,NWE
First Downs,20,26
Rush-Yds-TDs,26-131-1,35-141-2
Cmp-Att-Yd-TD-INT,17-36-236-2-1,25-43-269-1-1
Sacked-Yards,1-6,5-34
Net Pass Yards,230,235
Total Yards,361,376
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,7-56,4-33
Third Down Conv.,5-14,5-15
Fourth Down Conv.,0-0,1-3
Time of Possession,28:09,31:51
