Unnamed: 0,IND,NWE
First Downs,14,21
Rush-Yds-TDs,26-70-1,36-167-0
Cmp-Att-Yd-TD-INT,18-28-194-0-1,18-27-195-0-2
Sacked-Yards,0-0,5-22
Net Pass Yards,194,173
Total Yards,264,340
Fumbles-Lost,0-0,1-0
Turnovers,1,2
Penalties-Yards,4-34,5-34
Third Down Conv.,5-13,6-14
Fourth Down Conv.,2-2,1-1
Time of Possession,25:35,34:25
