Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Cam Akers,LAR,12,65,0,4,23,1.9,42,3.5,0,
Kyren Williams,LAR,2,7,0,,2,1.0,5,2.5,0,
Tutu Atwell,LAR,1,-4,0,0,-4,-4.0,0,0.0,0,
Baker Mayfield,LAR,1,1,0,0,1,1.0,0,0.0,0,
Brandon Powell,LAR,1,3,0,,3,3.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Aaron Jones,GNB,17,90,0,4,48,2.8,42,2.5,0,
AJ Dillon,GNB,11,36,2,4,15,1.4,21,1.9,1,11.0
Patrick Taylor,GNB,4,15,0,1,5,1.3,10,2.5,0,
Aaron Rodgers,GNB,3,-3,0,0,-3,-1.0,0,0.0,0,
