Unnamed: 0,LAR,GNB
First Downs,13,27
Rush-Yds-TDs,17-72-0,35-138-2
Cmp-Att-Yd-TD-INT,12-21-111-1-1,22-30-229-1-1
Sacked-Yards,5-27,3-22
Net Pass Yards,84,207
Total Yards,156,345
Fumbles-Lost,1-0,2-1
Turnovers,1,2
Penalties-Yards,8-76,4-80
Third Down Conv.,4-11,4-9
Fourth Down Conv.,0-0,2-2
Time of Possession,22:41,37:19
