Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 55 yards, returned by Brandon Powell for 10 yards (tackle by Innis Gaines)",0.000,0.280
1,14:56,1,10,LAR 20,0,0,Cam Akers left tackle for 15 yards (tackle by Jaire Alexander),0.280,1.270
1,14:14,1,10,LAR 35,0,0,Cam Akers right guard for -2 yards (tackle by Kenny Clark),1.270,0.450
1,13:39,2,12,LAR 33,0,0,"Penalty on Ty Nsekhe: False Start, 5 yards (accepted) (no play)",0.450,-0.220
1,13:22,2,17,LAR 28,0,0,Kyren Williams right tackle for 2 yards (tackle by Kenny Clark),-0.220,-0.630
1,13:02,3,15,LAR 30,0,0,Baker Mayfield pass complete deep right to Van Jefferson for 17 yards (tackle by Darnell Savage),-0.630,2.060
1,12:26,1,10,LAR 47,0,0,Cam Akers right tackle for 1 yard (tackle by Rasul Douglas and Preston Smith),2.060,1.650
1,11:44,2,9,LAR 48,0,0,Baker Mayfield pass incomplete short middle intended for Ben Skowronek,1.650,0.960
1,11:37,3,9,LAR 48,0,0,Baker Mayfield sacked by Preston Smith for -8 yards,0.960,-0.720
1,10:52,4,17,LAR 40,0,0,"Riley Dixon punts 47 yards, returned by Keisean Nixon for 19 yards (tackle by Matthew Orzech and Malcolm Brown)",-0.720,-1.070
1,10:39,1,10,GNB 32,0,0,Aaron Rodgers pass incomplete short right intended for Aaron Jones,1.070,0.530
1,10:31,2,10,GNB 32,0,0,Aaron Jones right guard for 5 yards (tackle by Russ Yeast and Jalen Ramsey),0.530,0.500
1,9:59,3,5,GNB 37,0,0,Aaron Rodgers pass complete short left to Romeo Doubs for 11 yards (tackle by Cobie Durant),0.500,2.130
1,9:23,1,10,GNB 48,0,0,Aaron Jones left end for 9 yards (tackle by Taylor Rapp),2.130,2.800
1,8:45,2,1,LAR 43,0,0,AJ Dillon left end for 7 yards (tackle by Ernest Jones),2.800,3.180
1,8:05,1,10,LAR 36,0,0,Aaron Rodgers pass complete short left to Allen Lazard for 7 yards (tackle by Troy Hill),3.180,3.580
1,7:33,2,3,LAR 29,0,0,Aaron Rodgers pass complete short left to Romeo Doubs for 11 yards (tackle by Troy Hill),3.580,4.370
1,6:52,1,10,LAR 18,0,0,Aaron Jones up the middle for 10 yards (tackle by Taylor Rapp),4.370,5.370
1,5:59,1,8,LAR 8,0,0,Aaron Jones right end for 3 yards (tackle by Leonard Floyd and Greg Gaines),5.370,5.150
1,5:20,2,5,LAR 5,0,0,Aaron Rodgers pass incomplete short right intended for Christian Watson,5.150,4.260
