Quarter,Time,Tm,Detail,LAR,GNB
1.0,4:25,Packers,Mason Crosby 34 yard field goal,0,3
2.0,10:41,Rams,Matt Gay 33 yard field goal,3,3
,4:26,Packers,AJ Dillon 8 yard rush (Mason Crosby kick),3,10
,0:46,Rams,Matt Gay 55 yard field goal,6,10
3.0,8:04,Packers,AJ Dillon 1 yard rush (Mason Crosby kick),6,17
,2:31,Packers,Aaron Jones 7 yard pass from Aaron Rodgers (Mason Crosby kick),6,24
,0:22,Rams,Tyler Higbee 8 yard pass from Baker Mayfield (Matt Gay kick failed),12,24
