Unnamed: 0,MIN,GNB
First Downs,18,20
Rush-Yds-TDs,20-102-0,33-163-2
Cmp-Att-Yd-TD-INT,22-35-262-2-3,17-27-168-1-0
Sacked-Yards,2-18,1-16
Net Pass Yards,244,152
Total Yards,346,315
Fumbles-Lost,3-1,0-0
Turnovers,4,0
Penalties-Yards,6-35,3-30
Third Down Conv.,5-12,7-12
Fourth Down Conv.,1-2,0-1
Time of Possession,25:56,34:04
