Quarter,Time,Tm,Detail,MIN,GNB
1.0,10:38,Vikings,Greg Joseph 21 yard field goal,3,0
,10:25,Packers,Keisean Nixon 105 yard kickoff return (Mason Crosby kick),3,7
,5:17,Packers,Darnell Savage Jr. 75 yard interception return (Mason Crosby kick),3,14
2.0,9:48,Packers,Mason Crosby 26 yard field goal,3,17
,2:41,Packers,Robert Tonyan 21 yard pass from Aaron Rodgers (Mason Crosby kick),3,24
,0:00,Packers,Mason Crosby 56 yard field goal,3,27
4.0,14:54,Packers,AJ Dillon 2 yard rush (Mason Crosby kick),3,34
,9:25,Packers,Aaron Rodgers 2 yard rush (Mason Crosby kick),3,41
,7:34,Vikings,Jalen Nailor 47 yard pass from Kirk Cousins (Greg Joseph kick),10,41
,0:21,Vikings,K.J. Osborn 9 yard pass from Nick Mullens (Greg Joseph kick),17,41
