Unnamed: 0,DAL,DET
First Downs,25,25
Rush-Yds-TDs,16-87-2,32-152-3
Cmp-Att-Yd-TD-INT,35-44-302-2-0,22-36-248-0-0
Sacked-Yards,3-21,1-10
Net Pass Yards,281,238
Total Yards,368,390
Fumbles-Lost,3-1,1-0
Turnovers,1,0
Penalties-Yards,3-23,7-35
Third Down Conv.,4-10,7-14
Fourth Down Conv.,2-2,0-0
Time of Possession,27:35,32:25
