Quarter,Time,Down,ToGo,Location,DAL,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 72 yards, returned by Miles Austin for 27 yards (tackle by Dovonte Edwards)",0.000,0.610
1,14:55,1,10,DAL 25,0,0,Julius Jones right end for 6 yards (tackle by Kenoy Kennedy),0.610,0.870
1,14:17,2,4,DAL 31,0,0,Tony Romo pass incomplete short middle intended for Jason Witten,0.870,0.170
1,14:13,3,4,DAL 31,0,0,"Penalty on Shaun Rogers: Defensive Offside, 5 yards (no play)",0.170,1.330
1,14:13,1,10,DAL 36,0,0,Julius Jones right end for 8 yards (tackle by Kenoy Kennedy),1.330,1.870
1,13:32,2,2,DAL 44,0,0,Julius Jones right end for 7 yards (tackle by Cory Redding),1.870,2.320
1,13:01,1,10,DET 49,0,0,Tony Romo pass complete short right to Patrick Crayton for 4 yards (tackle by Gerald Alexander),2.320,2.320
1,12:22,2,6,DET 45,0,0,Tony Romo pass complete short middle to Jason Witten for 10 yards (tackle by Ernie Sims),2.320,3.250
1,11:40,1,10,DET 35,0,0,Julius Jones right end for 4 yards (tackle by Kenoy Kennedy),3.250,3.240
1,11:00,2,6,DET 31,0,0,Julius Jones left end for -1 yards (tackle by Ernie Sims and Kenoy Kennedy),3.240,2.410
1,10:14,3,7,DET 32,0,0,Tony Romo pass incomplete short left intended for Sam Hurd,2.410,1.240
1,10:11,4,7,DET 32,0,0,Nick Folk 50 yard field goal no good,1.240,-1.600
1,10:06,1,10,DET 40,0,0,Jon Kitna pass complete short left to Shaun McDonald for 2 yards (tackle by Anthony Henry),1.600,1.320
1,9:46,2,8,DET 42,0,0,Kevin Jones right tackle for 15 yards (tackle by Ken Hamlin),1.320,2.720
1,9:09,1,10,DAL 43,0,0,"Penalty on John Owens: False Start, 5 yards (no play)",2.720,2.390
1,8:55,1,15,DAL 48,0,0,Kevin Jones left tackle for 6 yards (tackle by Roy Williams and Bradie James),2.390,2.310
1,8:20,2,9,DAL 42,0,0,Kevin Jones left tackle for 10 yards (tackle by Ken Hamlin),2.310,3.450
1,7:43,1,10,DAL 32,0,6,"T.J. Duckett left tackle for 32 yards, touchdown",3.450,7.000
1,,,,DAL 2,0,7,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 30,0,7,"Jason Hanson kicks off 70 yards, returned by Miles Austin for 25 yards (tackle by Teddy Lehman)",0.000,0.610
1,7:28,1,10,DAL 25,0,7,Marion Barber up the middle for 6 yards (tackle by Paris Lenon and Cory Redding),0.610,0.870
1,6:50,2,4,DAL 31,0,7,Tony Romo pass incomplete short right intended for Patrick Crayton (defended by Shaun Rogers),0.870,0.170
1,6:44,3,4,DAL 31,0,7,Tony Romo sacked by Gerald Alexander for -12 yards,0.170,-2.140
1,6:08,4,16,DAL 19,0,7,"Mat McBriar punts 45 yards, returned by Troy Walters for 2 yards (tackle by Pat Watkins)",-2.140,-1.470
1,5:58,1,10,DET 38,0,7,Kevin Jones left end for no gain (tackle by DeMarcus Ware),1.470,0.920
1,5:25,2,10,DET 38,0,7,Jon Kitna pass complete short left to Shaun McDonald for 14 yards (tackle by Anthony Henry),0.920,2.390
1,4:45,1,10,DAL 48,0,7,Jon Kitna pass complete short middle to Kevin Jones for 10 yards (tackle by Akin Ayodele),2.390,3.050
1,4:11,1,10,DAL 38,0,7,T.J. Duckett left tackle for 2 yards (tackle by Akin Ayodele and Chris L. Canty),3.050,2.780
1,3:35,2,8,DAL 36,0,7,Jon Kitna pass incomplete short right intended for Sean McHugh,2.780,2.080
1,3:29,3,8,DAL 36,0,7,"Jon Kitna pass complete short left to Mike Furrey for 10 yards (tackle by Anthony Henry). Penalty on DeMarcus Ware: Roughing the Passer, 13 yards",2.080,4.710
1,2:55,1,10,DAL 13,0,7,Kevin Jones right tackle for 4 yards (tackle by Greg Ellis),4.710,4.770
1,2:15,2,6,DAL 9,0,7,Kevin Jones up the middle for 3 yards (tackle by Terence Newman),4.770,4.560
1,1:36,3,3,DAL 6,0,7,Jon Kitna pass complete short middle to Sean McHugh for 5 yards (tackle by Pat Watkins),4.560,6.970
1,0:55,1,1,DAL 1,0,7,Kevin Jones right tackle for no gain (tackle by Bradie James),6.970,5.910
1,0:21,2,1,DAL 1,0,7,Jon Kitna pass incomplete short middle intended for Sean McHugh,5.910,5.170
1,0:17,3,1,DAL 1,0,7,Jon Kitna pass incomplete short middle intended for Sean McHugh. Penalty on Kevin Jones: Illegal Formation (Declined),5.170,3.550
1,0:12,4,1,DAL 1,0,10,Jason Hanson 19 yard field goal good,3.550,3.000
1,,,,DET 30,0,10,"Jason Hanson kicks off 72 yards, returned by Miles Austin for 60 yards (tackle by Jason Hanson)",0.000,2.790
Quarter,Time,Down,ToGo,Location,DAL,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 42,0,10,Tony Romo pass complete short left to Jason Witten for 6 yards (tackle by Ernie Sims),2.790,3.050
2,14:13,2,4,DET 36,0,10,"Tony Romo pass complete short left to Marion Barber for 5 yards (tackle by Dewayne White). Marion Barber fumbles (forced by Dewayne White), recovered by Andre Gurode at DET-28",3.050,3.710
2,13:40,1,10,DET 28,0,10,Marion Barber up the middle for 8 yards (tackle by Ernie Sims and Kenoy Kennedy),3.710,4.250
2,13:02,2,2,DET 20,0,10,Marion Barber left end for no gain (tackle by Ikaika Alama-Francis),4.250,3.530
2,12:20,3,2,DET 20,6,10,"Marion Barber right end for 20 yards, touchdown",3.530,7.000
2,,,,DET 2,7,10,Nick Folk kicks extra point good,0.000,0.000
2,,,,DAL 30,7,10,"Nick Folk kicks off 60 yards, returned by Aveion Cason for 17 yards (tackle by Justin Rogers)",0.000,0.740
2,12:05,1,10,DET 27,7,10,Kevin Jones left end for no gain (tackle by DeMarcus Ware),0.740,0.200
2,11:33,2,10,DET 27,7,10,Jon Kitna pass complete deep middle to Shaun McDonald for 18 yards (tackle by Terence Newman),0.200,1.930
2,10:51,1,10,DET 45,7,10,Jon Kitna pass complete deep right to Sean McHugh for 35 yards (tackle by Bradie James),1.930,4.240
2,10:07,1,10,DAL 20,7,10,Jon Kitna pass incomplete deep middle intended for John Owens (defended by Roy Williams),4.240,3.690
2,10:01,2,10,DAL 20,7,10,T.J. Duckett right end for 1 yard (tackle by Jay Ratliff),3.690,3.100
2,9:25,3,9,DAL 19,7,10,"Penalty on Stephen Peterman: False Start, 5 yards (no play)",3.100,2.480
2,9:07,3,14,DAL 24,7,10,Jon Kitna pass complete short left to Brandon Middleton for 6 yards (tackle by Nate Jones),2.480,2.250
2,8:27,4,8,DAL 18,7,13,Jason Hanson 36 yard field goal good,2.250,3.000
2,,,,DET 30,7,13,"Jason Hanson kicks off 44 yards, returned by Tony Curtis for 11 yards (tackle by Corey Smith)",0.000,1.400
