Unnamed: 0,GNB,MIN
First Downs,24,20
Rush-Yds-TDs,34-261-0,25-125-1
Cmp-Att-Yd-TD-INT,18-28-194-3-1,21-34-202-2-0
Sacked-Yards,1-4,2-4
Net Pass Yards,190,198
Total Yards,451,323
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,3-25,4-20
Third Down Conv.,6-12,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,30:18,29:42
