Quarter,Time,Tm,Detail,GNB,MIN
1.0,11:14,Packers,Ryan Longwell 21 yard field goal,3,0
,8:33,Vikings,Randy Moss 43 yard pass from Daunte Culpepper (Aaron Elling kick),3,7
,5:42,Packers,Ryan Longwell 43 yard field goal,6,7
2.0,12:18,Packers,Ahman Green 5 yard pass from Brett Favre (Ryan Longwell kick),13,7
,2:07,Vikings,Jim Kleinsasser 4 yard pass from Daunte Culpepper (Aaron Elling kick),13,14
,0:21,Packers,Javon Walker 12 yard pass from Brett Favre (Ryan Longwell kick),20,14
3.0,8:53,Vikings,Aaron Elling 47 yard field goal,20,17
,2:26,Vikings,Aaron Elling 37 yard field goal,20,20
4.0,13:14,Packers,Javon Walker 12 yard pass from Brett Favre (Ryan Longwell kick),27,20
,2:37,Packers,Ryan Longwell 27 yard field goal,30,20
,0:33,Vikings,Daunte Culpepper 1 yard rush (Aaron Elling kick),30,27
