Quarter,Time,Tm,Detail,CAR,NOR
1.0,10:39,Saints,Latavius Murray 26 yard rush (Wil Lutz kick),0,7
,5:12,Saints,Tre'Quan Smith 13 yard pass from Drew Brees (Wil Lutz kick),0,14
,3:08,Panthers,D.J. Moore 51 yard pass from Kyle Allen (Joey Slye kick failed),6,14
2.0,13:34,Saints,Wil Lutz 41 yard field goal,6,17
,8:09,Panthers,Joey Slye 41 yard field goal,9,17
,0:00,Panthers,Christian McCaffrey 1 yard pass from Kyle Allen (pass failed),15,17
3.0,11:18,Saints,Jared Cook 20 yard pass from Drew Brees (Wil Lutz kick),15,24
,8:36,Panthers,Joey Slye 52 yard field goal,18,24
,5:09,Saints,Michael Thomas 3 yard pass from Drew Brees (Wil Lutz kick),18,31
,1:28,Panthers,Christian McCaffrey 4 yard rush (Joey Slye kick failed),24,31
4.0,9:23,Panthers,D.J. Moore 2 yard pass from Kyle Allen (Joey Slye kick),31,31
,0:00,Saints,Wil Lutz 33 yard field goal,31,34
