Unnamed: 0,CAR,NOR
First Downs,26,23
Rush-Yds-TDs,29-121-1,18-118-1
Cmp-Att-Yd-TD-INT,23-36-256-3-0,30-39-311-3-1
Sacked-Yards,4-26,2-11
Net Pass Yards,230,300
Total Yards,351,418
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,3-25,12-123
Third Down Conv.,5-13,4-10
Fourth Down Conv.,1-1,0-1
Time of Possession,31:33,28:27
