Unnamed: 0,KAN,GNB
First Downs,25,24
Rush-Yds-TDs,25-148-1,25-129-0
Cmp-Att-Yd-TD-INT,21-33-210-1-1,25-36-267-3-0
Sacked-Yards,3-21,2-14
Net Pass Yards,189,253
Total Yards,337,382
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,5-50,7-63
Third Down Conv.,7-11,5-10
Fourth Down Conv.,0-1,1-1
Time of Possession,29:28,30:32
