Quarter,Time,Down,ToGo,Location,KAN,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,GNB 25,0,0,Jordan Love pass complete short middle to Jayden Reed for 9 yards (tackle by Bryan Cook),0.610,1.280
1,14:19,2,1,GNB 34,0,0,AJ Dillon left tackle for 3 yards (tackle by Justin Reid),1.280,1.400
1,13:42,1,10,GNB 37,0,0,Jordan Love pass complete deep middle to Christian Watson for 19 yards (tackle by Bryan Cook),1.400,2.650
1,13:00,1,10,KAN 44,0,0,AJ Dillon left end for 3 yards (tackle by Bryan Cook and Trent McDuffie),2.650,2.520
1,12:15,2,7,KAN 41,0,0,AJ Dillon left tackle for 5 yards (tackle by Willie Gay and Charles Omenihu),2.520,2.480
1,11:31,3,2,KAN 36,0,0,AJ Dillon up the middle for 2 yards (tackle by Drue Tranquill),2.480,3.310
1,10:54,1,10,KAN 34,0,0,AJ Dillon right end for 5 yards (tackle by Drue Tranquill and Michael Danna),3.310,3.450
1,10:24,2,5,KAN 29,0,0,Jordan Love pass complete short left to Tucker Kraft for 9 yards (tackle by Leo Chenal and Trent McDuffie),3.450,4.240
1,9:46,1,10,KAN 20,0,0,Jordan Love pass complete short middle to Jayden Reed for no gain (tackle by Jack Cochrane and Tershawn Wharton),4.240,3.690
1,9:04,2,10,KAN 20,0,0,AJ Dillon up the middle for 6 yards (tackle by Matt Dickerson),3.690,3.890
1,8:20,,,,,,Timeout #1 by Green Bay Packers,,
1,8:20,3,4,KAN 14,0,0,Jordan Love pass complete short right to Dontayvion Wicks for 7 yards (tackle by Justin Reid),3.890,5.600
1,7:40,1,7,KAN 7,0,0,AJ Dillon right guard for 6 yards (tackle by Trent McDuffie),5.600,5.910
1,7:17,2,1,KAN 1,0,6,"Jordan Love pass complete short right to Ben Sims for 1 yard, touchdown",5.910,7.000
1,7:13,,,KAN 15,0,7,Anders Carlson kicks extra point good,0.000,0.000
1,7:13,,,GNB 35,0,7,"Anders Carlson kicks off 63 yards, returned by Richie James for 22 yards (tackle by Isaiah McDuffie)",0.000,0.540
1,7:08,1,10,KAN 24,0,7,Patrick Mahomes pass complete short left to Rashee Rice for 9 yards (tackle by Jonathan Owens),0.540,1.210
1,6:41,2,1,KAN 33,0,7,Isiah Pacheco left guard for 8 yards (tackle by Rashan Gary and Quay Walker),1.210,1.660
1,6:11,1,10,KAN 41,0,7,Patrick Mahomes pass complete short right to Isiah Pacheco for 7 yards (tackle by Quay Walker and De'Vondre Campbell),1.660,2.070
1,5:37,2,3,KAN 48,0,7,Patrick Mahomes pass complete short left to Isiah Pacheco for 1 yard (tackle by Corey Ballentine and Keisean Nixon),2.070,1.490
1,4:53,3,2,KAN 49,0,7,Clyde Edwards-Helaire left guard for 5 yards (tackle by Quay Walker and Rashan Gary),1.490,2.520
1,4:20,1,10,GNB 46,0,7,Patrick Mahomes pass incomplete short middle intended for Travis Kelce (defended by Darnell Savage),2.520,1.980
1,4:11,2,10,GNB 46,0,7,"Patrick Mahomes pass complete short right to Travis Kelce for no gain (tackle by Darnell Savage). Penalty on Travis Kelce: Offensive Pass Interference, 10 yards (accepted) (no play)",1.980,0.630
1,3:49,2,20,KAN 44,0,7,Patrick Mahomes scrambles left end for 9 yards (tackle by Corey Ballentine),0.630,1.160
1,3:31,3,11,GNB 47,0,7,Patrick Mahomes pass complete deep middle to Marquez Valdes-Scantling for 16 yards (tackle by Rudy Ford),1.160,3.510
1,2:54,1,10,GNB 31,0,7,Isiah Pacheco left guard for 26 yards (tackle by Anthony Johnson and Corey Ballentine),3.510,6.060
1,2:13,1,5,GNB 5,0,7,Patrick Mahomes sacked by Lukas Van Ness for -9 yards,6.060,3.580
1,1:27,2,14,GNB 14,0,7,Isiah Pacheco left tackle for 5 yards (tackle by Quay Walker and Kenny Clark),3.580,3.360
1,0:48,3,9,GNB 9,0,7,Patrick Mahomes sacked by and Rashan Gary for -7 yards and Kenny Clark for -7 yards,3.360,2.380
1,0:01,4,16,GNB 16,3,7,Harrison Butker 34 yard field goal good,2.380,3.000
Quarter,Time,Down,ToGo,Location,KAN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,KAN 35,3,7,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,15:00,1,10,GNB 25,3,7,Jordan Love pass complete short left to Tucker Kraft for 19 yards (tackle by Bryan Cook),0.610,1.860
2,14:21,1,10,GNB 44,3,7,Christian Watson right end for 2 yards (tackle by George Karlaftis),1.860,1.590
2,13:45,2,8,GNB 46,3,7,Jordan Love pass complete deep left to Dontayvion Wicks for 27 yards (tackle by Chamarri Conner),1.590,3.780
2,13:02,1,10,KAN 27,3,7,Jordan Love pass complete short right to Tucker Kraft for 9 yards (tackle by Mike Edwards),3.780,4.530
2,12:22,2,1,KAN 18,3,7,AJ Dillon up the middle for 4 yards (tackle by Willie Gay and Charles Omenihu),4.530,4.650
2,11:39,1,10,KAN 14,3,7,AJ Dillon right end for 5 yards (tackle by Jack Cochrane),4.650,4.900
2,10:48,,,,,,Timeout #2 by Green Bay Packers,,
2,10:48,2,5,KAN 9,3,7,Jordan Love pass incomplete short right intended for Christian Watson,4.900,4.050
2,10:44,3,5,KAN 9,3,13,"Jordan Love pass complete short middle to Christian Watson for 9 yards, touchdown",4.050,7.000
2,10:39,,,KAN 15,3,14,Anders Carlson kicks extra point good,0.000,0.000
2,10:39,,,GNB 35,3,14,"Anders Carlson kicks off 65 yards, touchback.",0.000,0.610
2,10:39,1,10,KAN 25,3,14,Isiah Pacheco left end for 1 yard (tackle by Kenny Clark and Kingsley Enagbare),0.610,0.200
2,10:05,2,9,KAN 26,3,14,Patrick Mahomes pass complete short left to Isiah Pacheco for 5 yards (tackle by Jonathan Owens),0.200,0.170
2,9:28,3,4,KAN 31,3,14,Patrick Mahomes pass complete short right to Skyy Moore for 5 yards (tackle by Keisean Nixon and Quay Walker),0.170,1.330
2,8:49,1,10,KAN 36,3,14,Isiah Pacheco right end for 2 yards (tackle by Quay Walker and Tedarrell Slaton),1.330,1.060
2,8:10,2,8,KAN 38,3,14,Patrick Mahomes pass complete short middle to Travis Kelce for 23 yards (tackle by Darnell Savage),1.060,2.980
2,7:27,1,10,GNB 39,3,14,Patrick Mahomes scrambles left end for 8 yards (tackle by Corey Ballentine),2.980,3.520
2,6:52,2,2,GNB 31,3,14,Clyde Edwards-Helaire right end for 1 yard (tackle by De'Vondre Campbell and Rashan Gary),3.520,2.940
2,6:16,3,1,GNB 30,3,14,Isiah Pacheco left tackle for 8 yards (tackle by Preston Smith),2.940,4.110
2,5:37,1,10,GNB 22,3,14,Patrick Mahomes pass incomplete short middle intended for Rashee Rice,4.110,3.560
2,5:32,2,10,GNB 22,3,14,Patrick Mahomes pass complete short left to Travis Kelce for 10 yards (tackle by De'Vondre Campbell and Corey Ballentine),3.560,4.780
2,4:57,1,10,GNB 12,3,14,Isiah Pacheco up the middle for 4 yards (tackle by Tedarrell Slaton and Karl Brooks),4.780,4.830
2,4:16,2,6,GNB 8,3,14,"Patrick Mahomes scrambles left tackle for no gain (tackle by Jonathan Owens). Penalty on Creed Humphrey: Offensive Holding, 10 yards (accepted) (no play)",4.830,3.310
2,3:45,2,16,GNB 18,3,14,Patrick Mahomes pass complete short right to Rashee Rice for 7 yards (tackle by Darnell Savage),3.310,3.290
2,3:08,3,9,GNB 11,3,14,Patrick Mahomes sacked by and Preston Smith for -5 yards and Devonte Wyatt for -5 yards,3.290,2.380
2,2:23,4,14,GNB 16,6,14,Harrison Butker 34 yard field goal good,2.380,3.000
2,2:19,,,KAN 35,6,14,"Harrison Butker kicks off 67 yards, returned by Keisean Nixon for 25 yards (tackle by Blake Bell and Cam Jones)",0.000,0.480
2,2:14,1,10,GNB 23,6,14,James Robinson right end for 2 yards (tackle by Willie Gay),0.480,0.200
2,2:00,2,8,GNB 25,6,14,Jordan Love pass complete short left to Romeo Doubs for 5 yards (tackle by L'Jarius Sneed),0.200,0.170
2,1:22,3,3,GNB 30,6,14,Jordan Love pass complete short right to Christian Watson for 9 yards,0.170,1.530
2,1:16,1,10,GNB 39,6,14,Patrick Taylor right end for 5 yards (tackle by Willie Gay and Bryan Cook),1.530,1.660
