Quarter,Time,Down,ToGo,Location,STL,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 73 yards, touchback",0.000,0.280
1,15:00,1,10,STL 20,0,0,Steven Jackson left guard for 5 yards (tackle by Desmond Bishop),0.280,0.410
1,14:27,2,5,STL 25,0,0,"Sam Bradford pass complete short middle to Greg Salas for 14 yards (tackle by Desmond Bishop). Penalty on Rodger Saffold: Offensive Holding, 10 yards (no play)",0.410,-1.070
1,13:58,2,15,STL 15,0,0,Sam Bradford pass complete short right to Lance Kendricks for 45 yards (tackle by Sam Shields),-1.070,2.920
1,13:22,1,10,GNB 40,0,0,Steven Jackson left end for 13 yards (tackle by Desmond Bishop and Morgan Burnett),2.920,3.780
1,12:55,1,10,GNB 27,0,0,Steven Jackson left end for 4 yards (tackle by A.J. Hawk),3.780,3.770
1,12:21,2,6,GNB 23,0,0,"Penalty on Lance Kendricks: False Start, 5 yards (no play)",3.770,3.100
1,11:59,2,11,GNB 28,0,0,Sam Bradford pass incomplete short left intended for Brandon Gibson,3.100,2.410
1,11:55,,,,0,0,Timeout #1 by St. Louis Rams,0.000,2.410
1,11:55,3,11,GNB 28,0,0,Steven Jackson right end for -1 yards (tackle by Charlie Peprah),2.410,1.500
1,11:15,4,12,GNB 29,0,0,Josh Brown 47 yard field goal no good,1.500,-1.400
1,11:10,1,10,GNB 37,0,0,Ryan Grant left end for 5 yards (tackle by Quintin Mikell),1.400,1.530
1,10:32,2,5,GNB 42,0,0,Ryan Grant right end for 6 yards (tackle by Justin Bannan and James Laurinaitis),1.530,2.130
1,9:51,1,10,GNB 48,0,0,Aaron Rodgers pass complete short middle to Jermichael Finley for 20 yards (tackle by Quintin Mikell),2.130,3.450
1,9:12,1,10,STL 32,0,0,Ryan Grant right tackle for 4 yards (tackle by James Hall),3.450,3.440
1,8:32,2,6,STL 28,0,0,Aaron Rodgers pass complete short right to Ryan Grant for 12 yards (tackle by Quintin Mikell),3.440,4.510
1,7:51,1,10,STL 16,0,0,Aaron Rodgers sacked by Gary Gibson for -7 yards. Penalty on Marshall Newhouse: Offensive Holding (Declined),4.510,3.010
1,7:21,2,17,STL 23,0,0,Aaron Rodgers pass incomplete short middle intended for Donald Driver,3.010,2.340
1,7:17,3,17,STL 23,0,0,Aaron Rodgers pass complete short middle to James Starks for 9 yards (tackle by James Laurinaitis),2.340,2.510
1,6:57,4,8,STL 14,0,3,Mason Crosby 32 yard field goal good,2.510,3.000
1,,,,GNB 35,0,3,"Mason Crosby kicks off 66 yards, touchback",0.000,0.280
1,6:53,1,10,STL 20,0,3,Sam Bradford pass complete short left to Danario Alexander for 9 yards (tackle by Tramon Williams),0.280,0.950
1,6:24,2,1,STL 29,0,3,"Steven Jackson right end for no gain (tackle by Charles Woodson). Penalty on Michael Hoomanawanui: Offensive Holding, 10 yards (no play)",0.950,-0.460
1,6:01,2,11,STL 19,0,3,Sam Bradford pass incomplete short right intended for Lance Kendricks (defended by Clay Matthews),-0.460,-1.140
1,5:55,3,11,STL 19,0,3,Sam Bradford pass incomplete deep middle intended for Danario Alexander,-1.140,-2.140
1,5:50,4,11,STL 19,0,3,Donnie Jones punts 30 yards,-2.140,-2.320
1,5:39,1,10,STL 49,0,3,James Starks left guard for -3 yards (tackle by James Laurinaitis),2.320,1.380
1,5:00,2,13,GNB 48,0,3,Aaron Rodgers pass complete short right to Greg Jennings for 11 yards (tackle by Justin King),1.380,2.150
1,4:30,3,2,STL 41,0,3,John Kuhn right end for no gain (tackle by Quintin Mikell),2.150,0.530
1,3:58,4,2,STL 41,0,3,"Tim Masthay punts 25 yards, fair catch by Austin Pettis",0.530,0.060
1,3:51,1,10,STL 17,0,3,Sam Bradford pass complete short right to Lance Kendricks for 8 yards (tackle by Desmond Bishop),-0.060,0.620
1,3:25,2,2,STL 25,0,3,Cadillac Williams left tackle for 3 yards (tackle by Howard Green and Desmond Bishop),0.620,0.810
1,2:49,1,10,STL 28,0,3,Sam Bradford pass complete short left to Greg Salas for 11 yards (tackle by Charlie Peprah),0.810,1.530
1,2:13,1,10,STL 39,0,3,Cadillac Williams up the middle for 13 yards (tackle by Sam Shields and Morgan Burnett),1.530,2.390
1,1:43,1,10,GNB 48,0,3,Cadillac Williams left guard for 1 yard (tackle by Charlie Peprah and Howard Green),2.390,1.980
1,1:06,2,9,GNB 47,0,3,Sam Bradford pass incomplete short left intended for Danario Alexander (defended by Tramon Williams),1.980,1.290
1,1:02,3,9,GNB 47,0,3,Sam Bradford pass complete short right to Greg Salas for 6 yards (tackle by Tramon Williams),1.290,0.530
1,0:22,4,3,GNB 41,0,3,Sam Bradford pass incomplete deep right intended for Danario Alexander,0.530,-1.660
1,0:18,1,10,GNB 41,0,3,Aaron Rodgers pass incomplete deep middle intended for Jermichael Finley,1.660,1.120
1,0:13,2,10,GNB 41,0,3,Aaron Rodgers pass complete short left to James Starks for 8 yards (tackle by Quintin Mikell),1.120,1.490
Quarter,Time,Down,ToGo,Location,STL,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,GNB 49,0,3,John Kuhn up the middle for 1 yard (tackle by James Hall),1.490,-0.060
2,14:35,4,1,,0,3,James Starks right end for 15 yards (tackle by Darian Stewart),-0.060,3.250
2,14:00,1,10,STL 35,0,9,"Aaron Rodgers pass complete deep left to James Jones for 35 yards, touchdown",3.250,7.000
2,,,,STL 2,0,10,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 35,0,10,"Mason Crosby kicks off 74 yards, touchback",0.000,0.280
2,13:53,1,10,STL 20,0,10,Steven Jackson left end for 9 yards (tackle by Sam Shields),0.280,0.950
2,13:18,2,1,STL 29,0,10,Steven Jackson up the middle for 3 yards (tackle by B.J. Raji and Frank Zombo),0.950,1.070
2,12:38,1,10,STL 32,0,10,"Steven Jackson left guard for 4 yards (tackle by Charles Woodson). Penalty on Clay Matthews: Defensive Offside, 5 yards (no play)",1.070,1.800
2,12:17,1,5,STL 37,0,10,Sam Bradford pass complete short left to Danario Alexander for 11 yards (tackle by Desmond Bishop and Morgan Burnett),1.800,2.130
2,11:52,1,10,STL 48,0,10,Sam Bradford pass complete short left to Danario Alexander for 10 yards (tackle by Sam Shields),2.130,2.790
2,11:14,1,10,GNB 42,0,10,Sam Bradford pass complete short right to Brandon Gibson for no gain,2.790,2.240
2,10:35,2,10,GNB 42,0,10,Sam Bradford sacked by A.J. Hawk for -9 yards,2.240,0.370
2,10:04,3,19,STL 49,0,10,Sam Bradford pass complete short left to Greg Salas for 2 yards (tackle by Sam Shields and Jarius Wynn),0.370,0.000
2,9:34,4,17,GNB 49,0,10,Donnie Jones punts 42 yards,0.000,0.380
2,9:24,1,10,GNB 7,0,16,"Aaron Rodgers pass complete deep left to Jordy Nelson for 93 yards, touchdown",-0.380,7.000
2,,,,STL 2,0,17,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 35,0,17,"Mason Crosby kicks off 60 yards, returned by Quinn Porter for 14 yards (tackle by D.J. Smith)",0.000,0.150
2,9:05,1,10,STL 19,0,17,Steven Jackson right end for 6 yards (tackle by Desmond Bishop and Charlie Peprah),0.150,0.480
2,8:35,2,4,STL 25,0,17,Brandon Gibson left end for 5 yards (tackle by Erik Walden and Charles Woodson),0.480,0.940
2,7:56,1,10,STL 30,0,17,Steven Jackson left guard for 3 yards (tackle by C.J. Wilson),0.940,0.800
2,7:18,2,7,STL 33,0,17,Sam Bradford pass incomplete short right intended for Brandon Gibson,0.800,0.100
