Unnamed: 0,STL,GNB
First Downs,22,20
Rush-Yds-TDs,24-118-0,31-90-0
Cmp-Att-Yd-TD-INT,29-45-328-0-1,18-29-316-3-1
Sacked-Yards,3-22,1-7
Net Pass Yards,306,309
Total Yards,424,399
Fumbles-Lost,2-0,0-0
Turnovers,1,1
Penalties-Yards,7-45,3-16
Third Down Conv.,3-13,4-13
Fourth Down Conv.,1-4,1-1
Time of Possession,30:41,29:19
