Unnamed: 0,MIA,BUF
First Downs,17,23
Rush-Yds-TDs,25-99-0,33-166-3
Cmp-Att-Yd-TD-INT,19-32-150-1-2,17-26-224-3-1
Sacked-Yards,4-24,1-9
Net Pass Yards,126,215
Total Yards,225,381
Fumbles-Lost,3-2,0-0
Turnovers,4,1
Penalties-Yards,4-35,3-24
Third Down Conv.,3-12,5-11
Fourth Down Conv.,1-1,1-2
Time of Possession,29:42,30:18
