Quarter,Time,Tm,Detail,MIA,BUF
1.0,10:14,Bills,Josh Allen 1 yard rush (Stephen Hauschka kick),0,7
,8:31,Bills,Zay Jones 18 yard pass from Josh Allen (Stephen Hauschka kick),0,14
2.0,0:54,Dolphins,Ryan Tannehill 3 yard pass from Kenny Stills (Jason Sanders kick),7,14
,0:39,Dolphins,Reshad Jones 29 yard interception return (Jason Sanders kick),14,14
3.0,9:09,Bills,Robert Foster 5 yard pass from Josh Allen (Stephen Hauschka kick),14,21
,6:57,Bills,LeSean McCoy 9 yard rush (Stephen Hauschka kick),14,28
,1:28,Dolphins,Jason Sanders 29 yard field goal,17,28
4.0,11:13,Bills,Josh Allen 30 yard rush (Stephen Hauschka kick),17,35
,7:44,Bills,Zay Jones 26 yard pass from Josh Allen (Stephen Hauschka kick),17,42
