Unnamed: 0,CIN,PIT
First Downs,14,16
Rush-Yds-TDs,29-61-0,18-80-0
Cmp-Att-Yd-TD-INT,18-30-178-0-0,20-40-174-0-1
Sacked-Yards,2-21,4-28
Net Pass Yards,157,146
Total Yards,218,226
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,7-87,5-50
Third Down Conv.,4-14,3-15
Fourth Down Conv.,0-0,1-2
Time of Possession,29:08,30:52
