Quarter,Time,Tm,Detail,CIN,PIT
1.0,4:43,Steelers,Jeff Reed 28 yard field goal,0,3
,4:26,Bengals,Bernard Scott 96 yard kickoff return (run failed),6,3
2.0,4:13,Steelers,Jeff Reed 33 yard field goal,6,6
,0:12,Steelers,Jeff Reed 35 yard field goal,6,9
3.0,11:19,Bengals,Shayne Graham 23 yard field goal,9,9
,6:41,Bengals,Shayne Graham 32 yard field goal,12,9
4.0,11:20,Steelers,Jeff Reed 34 yard field goal,12,12
,7:29,Bengals,Shayne Graham 32 yard field goal,15,12
,1:56,Bengals,Shayne Graham 43 yard field goal,18,12
