Quarter,Time,Tm,Detail,CIN,PIT
1.0,8:36,Bengals,Jeremi Johnson 2 yard pass from Carson Palmer (Shayne Graham kick),7,0
,5:53,Steelers,Jerome Bettis 2 yard rush (Jeff Reed kick),7,7
2.0,14:13,Steelers,Verron Haynes 11 yard pass from Ben Roethlisberger (Jeff Reed kick),7,14
,6:51,Bengals,Shayne Graham 34 yard field goal,10,14
3.0,8:35,Bengals,Rudi Johnson 2 yard rush (Shayne Graham kick),17,14
4.0,9:03,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),17,21
,2:03,Steelers,Troy Polamalu 26 yard interception return (Jeff Reed kick),17,28
