Unnamed: 0,CIN,PIT
First Downs,22,23
Rush-Yds-TDs,27-137-1,40-165-2
Cmp-Att-Yd-TD-INT,20-37-164-1-2,17-25-174-1-0
Sacked-Yards,1-8,1-6
Net Pass Yards,156,168
Total Yards,293,333
Fumbles-Lost,1-1,4-2
Turnovers,3,2
Penalties-Yards,5-46,7-90
Third Down Conv.,7-15,5-10
Fourth Down Conv.,0-0,0-0
Time of Possession,28:08,31:52
