Quarter,Time,Down,ToGo,Location,WAS,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,WAS 20,0,0,Alfred Morris left guard for no gain (tackle by Brian Sanford),0.280,-0.270
1,14:25,2,10,WAS 20,0,0,Alfred Morris up the middle for 2 yards (tackle by Pat Sims and Brian Sanford),-0.270,-0.690
1,13:47,3,8,WAS 22,0,0,Robert Griffin pass incomplete short middle intended for Santana Moss,-0.690,-1.900
1,13:42,4,8,WAS 22,0,0,"Saverio Rocca punts 51 yards, returned by Phillip Adams for 9 yards (tackle by Bryan Kehl)",-1.900,-1.330
1,13:30,1,10,OAK 36,0,0,Darren McFadden up the middle for 14 yards (tackle by Josh Wilson),1.330,2.260
1,12:54,1,10,,0,0,Matt Flynn pass incomplete short left intended for Mychal Rivera (defended by Brian Orakpo),2.260,1.710
1,12:51,2,10,,0,0,Darren McFadden up the middle for 6 yards (tackle by Reed Doughty),1.710,1.820
1,12:11,3,4,WAS 44,0,0,Matt Flynn sacked by Brian Orakpo for -4 yards,1.820,0.070
1,11:45,4,8,WAS 48,0,0,Marquette King punts 38 yards,0.070,0.380
1,11:35,1,10,WAS 10,0,0,Robert Griffin pass incomplete short left intended for Darrel Young,-0.380,-0.780
1,11:30,2,10,WAS 10,0,0,Robert Griffin left end for 1 yard (tackle by Brandian Ross and Tracy Porter),-0.780,-1.300
1,10:49,3,9,WAS 11,0,0,Robert Griffin pass incomplete short left intended for Leonard Hankerson,-1.300,-2.490
1,10:44,4,9,WAS 11,0,6,"Saverio Rocca punts, blocked by Rashad Jennings, recovered by Jeremy Stewart, touchdown",-2.490,-7.000
1,10:40,,,WAS 2,0,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,10:40,,,OAK 35,0,7,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
1,10:40,1,10,WAS 20,0,7,Robert Griffin pass complete short left to Pierre Garcon for 15 yards (tackle by Charles Woodson),0.280,1.270
1,10:00,1,10,WAS 35,0,7,Alfred Morris left tackle for -1 yards (tackle by Brian Sanford and Lamarr Houston),1.270,0.590
1,9:19,2,11,WAS 34,0,7,Alfred Morris left guard for 4 yards (tackle by Tracy Porter),0.590,0.430
1,8:39,3,7,WAS 38,0,7,Robert Griffin pass incomplete short middle intended for Leonard Hankerson,0.430,-0.850
1,8:33,4,7,WAS 38,0,7,"Saverio Rocca punts 43 yards, fair catch by Phillip Adams",-0.850,-0.150
1,8:27,1,10,OAK 19,0,7,Darren McFadden right tackle for 3 yards (tackle by Perry Riley),0.150,0.070
1,7:52,2,7,OAK 22,0,7,Jacoby Ford right end for 3 yards (tackle by Perry Riley),0.070,-0.290
1,7:13,3,4,OAK 25,0,7,Matt Flynn pass complete short left to Brice Butler for 6 yards (tackle by Perry Riley),-0.290,1.000
1,6:40,1,10,OAK 31,0,7,Matt Flynn pass complete short right to Marcel Reece for -2 yards (tackle by Josh Wilson),1.000,0.190
1,6:02,2,12,OAK 29,0,7,Rashad Jennings left guard for 4 yards (tackle by Kedric Golston and Bryan Kehl),0.190,0.040
1,5:26,3,8,OAK 33,0,7,Matt Flynn pass complete short right to Rashad Jennings for 12 yards (tackle by London Fletcher and E.J. Biggers),0.040,1.930
1,4:42,1,10,OAK 45,0,7,Matt Flynn pass complete deep right to Denarius Moore for 34 yards (tackle by Brandon Meriweather),1.930,4.170
1,3:58,1,10,WAS 21,0,7,Rashad Jennings left tackle for 3 yards (tackle by Reed Doughty),4.170,4.040
1,3:17,2,7,WAS 18,0,7,Matt Flynn pass incomplete short left intended for Marcel Reece (defended by Brian Orakpo),4.040,3.310
1,3:12,3,7,WAS 18,0,13,"Matt Flynn pass complete deep middle to Mychal Rivera for 18 yards, touchdown",3.310,7.000
1,3:12,,,WAS 2,0,14,Sebastian Janikowski kicks extra point good,0.000,0.000
1,3:12,,,OAK 35,0,14,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
1,3:06,1,10,WAS 20,0,14,Robert Griffin pass complete short middle to Leonard Hankerson for 15 yards (tackle by Brandian Ross),0.280,1.270
1,2:41,1,10,WAS 35,0,14,Alfred Morris right tackle for 8 yards (tackle by Charles Woodson and Brandian Ross),1.270,1.800
1,2:16,2,2,WAS 43,0,14,Alfred Morris left guard for 3 yards (tackle by Pat Sims),1.800,1.990
1,1:54,1,10,WAS 46,0,14,Robert Griffin pass complete short right to Leonard Hankerson for 15 yards (tackle by Mike Jenkins),1.990,2.980
1,1:40,1,10,OAK 39,0,14,Alfred Morris left tackle for 9 yards (tackle by Tracy Porter and Brandian Ross),2.980,3.660
1,1:10,2,1,OAK 30,0,14,Alfred Morris right tackle for 8 yards (tackle by Kevin Burnett and Nick Roach),3.660,4.110
1,0:47,1,10,OAK 22,0,14,Robert Griffin pass complete short middle to Niles Paul for 16 yards (tackle by Stacy McGee),4.110,5.830
1,0:02,1,6,OAK 6,0,14,Robert Griffin pass complete short left to Pierre Garcon for 2 yards (tackle by Charles Woodson),5.830,5.340
Quarter,Time,Down,ToGo,Location,WAS,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,OAK 4,0,14,"Robert Griffin pass incomplete. Penalty on Robert Griffin: Intentional Grounding, 14 yards",5.340,5.340
2,14:55,2,4,OAK 4,0,14,Timeout #1 by Washington Redskins,5.340,2.630
2,14:55,3,18,OAK 18,0,14,Robert Griffin pass complete short right to Pierre Garcon for 16 yards (tackle by Tracy Porter),2.630,3.250
2,14:46,4,2,OAK 2,0,14,"Penalty on Saverio Rocca: Delay of Game, 5 yards (no play)",3.250,2.970
2,14:23,4,7,OAK 7,3,14,John Potter 25 yard field goal good,2.970,3.000
2,14:23,,,WAS 35,3,14,"John Potter kicks off 65 yards, touchback",0.000,-0.280
2,14:21,1,10,OAK 20,3,14,Darren McFadden up the middle for 1 yard (tackle by Chris Baker and Stephen Bowen),0.280,-0.130
2,13:46,2,9,OAK 21,3,14,Darren McFadden left tackle for 5 yards (tackle by Brandon Meriweather),-0.130,-0.160
2,13:08,3,4,OAK 26,3,14,Matt Flynn pass complete short left to Denarius Moore for 12 yards (tackle by E.J. Biggers),-0.160,1.470
2,12:28,1,10,OAK 38,3,14,Matt Flynn sacked by Darryl Tapp for -1 yards,1.470,0.790
2,11:49,2,11,OAK 37,3,14,Rashad Jennings up the middle for 6 yards (tackle by Brandon Meriweather and Chris Baker),0.790,0.890
2,11:09,3,5,OAK 43,9,14,"Matt Flynn pass incomplete short middle intended for Denarius Moore is intercepted by David Amerson at OAK-45 and returned for 45 yards, touchdown",0.890,-7.000
2,10:59,,,OAK 2,10,14,John Potter kicks extra point good,0.000,0.000
2,10:59,,,WAS 35,10,14,"John Potter kicks off 71 yards, returned by Jacoby Ford for 25 yards (tackle by Niles Paul)",0.000,-0.150
2,10:53,1,10,OAK 19,10,14,Jamize Olawale left guard for 4 yards (tackle by Perry Riley),0.150,0.210
2,10:18,2,6,OAK 23,10,14,Matt Flynn pass complete short left to Rod Streater for 4 yards (tackle by Nick Barnett),0.210,-0.030
