Quarter,Time,Tm,Detail,WAS,OAK
1.0,10:40,Raiders,Jeremy Stewart blocked punt recovery in end zone (Sebastian Janikowski kick),0,7
,3:06,Raiders,Mychal Rivera 18 yard pass from Matt Flynn (Sebastian Janikowski kick),0,14
2.0,14:21,Redskins,John Potter 25 yard field goal,3,14
,10:59,Redskins,David Amerson 45 yard interception return (John Potter kick),10,14
3.0,2:58,Redskins,Pierre Garcon 5 yard pass from Robert Griffin III (John Potter kick),17,14
4.0,6:59,Redskins,Roy Helu 14 yard rush (John Potter kick),24,14
