Unnamed: 0,WAS,OAK
First Downs,15,14
Rush-Yds-TDs,32-122-1,26-104-0
Cmp-Att-Yd-TD-INT,18-31-227-1-0,21-32-227-1-1
Sacked-Yards,1-10,7-33
Net Pass Yards,217,194
Total Yards,339,298
Fumbles-Lost,1-1,3-2
Turnovers,1,3
Penalties-Yards,3-29,4-25
Third Down Conv.,5-16,5-17
Fourth Down Conv.,0-1,1-2
Time of Possession,27:38,32:22
