Quarter,Time,Tm,Detail,JAX,TAM
1.0,10:16,Buccaneers,Connor Barth 35 yard field goal,0,3
2.0,14:20,Jaguars,Allen Hurns 12 yard pass from Blake Bortles (Jason Myers kick),7,3
,10:39,Buccaneers,Connor Barth 45 yard field goal,7,6
,7:26,Buccaneers,Doug Martin 10 yard pass from Jameis Winston (Connor Barth kick),7,13
,2:26,Buccaneers,Doug Martin 1 yard rush (Connor Barth kick),7,20
,0:36,Jaguars,Allen Robinson 13 yard pass from Blake Bortles (Jason Myers kick),14,20
3.0,10:03,Jaguars,Jason Myers 31 yard field goal,17,20
,2:57,Jaguars,T.J. Yeldon 4 yard pass from Blake Bortles (Jason Myers kick),24,20
,0:29,Buccaneers,Connor Barth 47 yard field goal,24,23
,0:15,Buccaneers,Jacquies Smith 3 yard defensive fumble return (Vincent Jackson pass from Jameis Winston),24,31
4.0,8:26,Buccaneers,Doug Martin 1 yard rush (Connor Barth kick),24,38
,1:05,Jaguars,Allen Robinson 5 yard pass from Blake Bortles (Jason Myers kick),31,38
